title,description,genre
A Keeper,"'Atmospheric, creepy and impossible to put down.' the TIMES 'A compelling and moving story, expertly told, that will draw you in and keep you in its grip until the last page.' DAILY EXPRESS 'Magnificent ... his writing is evocative and perfect. His grasp of human loneliness and longing is beautiful and comforting.' MARIAN KEYES 'I raved about Holding two years ago ... A Keeper is even better. A powerful, very sad story, beautiful writing, two time frames that are perfectly balanced. Outstanding. Will easily be one of my books of 2018.' JOHN BOYNE 'A gripping, thoughtful tale about the search for identity, belonging and self-possession.' OBSERVER 'Moving and darkly funny.' GOOD HOUSEKEEPING 'Smart, well-written and thoroughly entertaining.' IRISH INDEPENDENT 'It's a sad and lovely book, brimful of tenderness and compassion, where the revelations of the past upturn the perceptions of the present.' SUNDAY EXPRESS 'Charming and tender, a complete joy.' SUNDAY MIRROR 'Perfectly crafted, a beautiful, gripping account of Irish memory and deceit. A terrific achievement.' ANDREW O'HAGAN From the bestselling author of Holding comes a masterly tale of secrets and ill-fated loves set on the coast of Ireland. Dear Lonely Leinster Lady, I'm not really sure how to begin . . . The truth drifts out to sea, riding the waves out of sight. And then the tide turns. Elizabeth Keane returns to Ireland after her mother's death, intent only on wrapping up that dismal part of her life. There is nothing here for her; she wonders if there ever was. The house of her childhood is stuffed full of useless things, her mother's presence already fading. And perhaps, had she not found the small stash of letters, the truth would never have come to light. 40 years earlier, a young woman stumbles from a remote stone house, the night quiet but for the tireless wind that circles her as she hurries further into the darkness away from the cliffs and the sea. She has no sense of where she is going, only that she must keep on. This compelling new novel confirms Graham Norton's status as a fresh, literary voice, bringing his clear-eyed understanding of human nature and its darkest flaws.",science fiction
Wallbanger,"“An instant classic…highly recommended!” —New York Times and USA TODAY bestselling author Jennifer Probst USA TODAY bestselling indie author Alice Clayton delights readers with the sexy, laugh-out-loud romance of Caroline and Simon in Wallbanger, the first book in the Cocktail series! The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she’s gaining an—um—intimate knowledge of her new neighbor’s nocturnal adventures. Thanks to paper-thin walls and the guy’s athletic prowess, she can hear not just his bed banging against the wall but the ecstatic response of what seems (as loud night after loud night goes by) like an endless parade of women. And since Caroline is currently on a self-imposed “dating hiatus,” and her neighbor is clearly lethally attractive to women, she finds her fantasies keep her awake even longer than the noise. So when the wallbanging threatens to literally bounce her out of bed, Caroline, clad in sexual frustration and a pink baby-doll nightie, confronts Simon Parker, her heard-but-never-seen neighbor. The tension between them is as thick as the walls are thin, and the results just as mixed. Suddenly, Caroline is finding she may have discovered a whole new definition of neighborly… In a delicious mix of silly and steamy, Alice Clayton dishes out a hot and hilarious tale of exasperation at first sight.",science fiction
The Mute's Soliloquy,The author offers a literary memoir that captures the struggles he and his fellow inmates endured while living as political prisoners of Indonesia on the island of Buru,science fiction
Greenwood,"A magnificent generational saga that charts a family’s rise and fall, its secrets and inherited crimes, from one of Canada’s most acclaimed novelists Longlisted for the Scotiabank Giller Prize • “A rugged, riveting novel . . . This superb family saga will satisfy fans of Richard Powers’s The Overstory.”—Publishers Weekly (starred review) It’s 2038 and Jacinda (Jake) Greenwood is a storyteller and a liar, an overqualified tour guide babysitting ultra-rich vacationers in one of the world’s last remaining forests. It’s 2008 and Liam Greenwood is a carpenter, sprawled on his back after a workplace fall, calling out from the concrete floor of an empty mansion. It’s 1974 and Willow Greenwood is out of jail, free after being locked up for one of her endless series of environmental protests: attempts at atonement for the sins of her father’s once vast and violent timber empire. It’s 1934 and Everett Greenwood is alone, as usual, in his maple-syrup camp squat, when he hears the cries of an abandoned infant and gets tangled up in the web of a crime, secrets, and betrayal that will cling to his family for decades. And throughout, there are trees: a steady, silent pulse thrumming beneath Christie’s effortless sentences, working as a guiding metaphor for withering, weathering, and survival. A shining, intricate clockwork of a novel, Greenwood is a rain-soaked and sun-dappled story of the bonds and breaking points of money and love, wood, and blood—and the hopeful, impossible task of growing toward the light.",science fiction
The Bastard of Istanbul,"One rainy afternoon in Istanbul, a woman walks into a doctor's surgery. 'I need to have an abortion', she announces. She is nineteen years old and unmarried. What happens that afternoon will change her life. Twenty years later, Asya Kazanci lives with her extended family in Istanbul. Due to a mysterious family curse, all the Kaznci men die in their early forties, so it is a house of women, among them Asya's beautiful, rebellious mother Zeliha, who runs a tattoo parlour; Banu, who has newly discovered herself as clairvoyant; and Feride, a hypochondriac obsessed with impending disaster. And when Asya's Armenian-American cousin Armanoush comes to stay, long hidden family secrets connected with Turkey's turbulent past begin to emerge. 'Wonderfully magical, incredible, breathtaking...will have you gasping with disbelief in the last few pages' Sunday Express 'A beautiful book, the finest I have read about Turkey' Irish Times 'Heartbreaking...the beauty of Islam pervades Shafak's book' Vogue",science fiction
"At Night She Cries, While He Rides His Steed","At Night She Cries, While He Rides His Steed is a side-splitting satire that perfectly parodies romance novels and western dramas. Our hero, Saint James Street James is a tall, extremely muscular, 32-year-old man whose attributes and possessions include a mind stronger than Socrates on acid, a magnificent horse he loves more than anything in the world, a package so large that it requires a signature, a beautiful, passionate wife with a rack so perfect it belongs on a billiard table, a ton of children, and his own personal gold mine. His life, set in 1849 against the backdrop of the California Gold Rush, is one long parade of amazing sex, dynamite montages, whiskey, and explosive gunfights. The kinds of things men could do when men were actually men. He is the richest man in town—equal parts loved and feared by all. But when the Schläger Brothers come to town, so too comes the end of the good times. St. James is forced to defend everything that matters to him (including, but not limited to: prostitutes, his horse, money, and drugs. Oh, and his wife and children too, sort of). God help anyone who stands in his way.",science fiction
The Evening and the Morning,"From the bestselling author Ken Follett, The Evening and the Morning is a historical epic that will end where The Pillars of the Earth begins. A TIME OF CONFLICT It is 997 CE, the end of the Dark Ages, and England faces attacks from the Welsh in the west and the Vikings in the east. Life is hard, and those with power wield it harshly, bending justice according to their will – often in conflict with the king. With his grip on the country fragile and with no clear rule of law, chaos and bloodshed reign. THREE LIVES INTERTWINED Into this uncertain world three people come to the fore: a young boatbuilder, who dreams of a better future when a devastating Viking raid shatters the life that he and the woman he loves hoped for; a Norman noblewoman, who follows her beloved husband across the sea to a new land only to find her life there shockingly different; and a capable monk at Shiring Abbey, who dreams of transforming his humble abbey into a centre of learning admired throughout Europe. THE DAWN OF A NEW AGE Now, with England at the dawn of the Middle Ages, these three people will each come into dangerous conflict with a ruthless bishop, who will do anything to increase his wealth and power, in an epic tale of ambition and rivalry, death and birth, and love and hate. Thirty years ago we were introduced to Kingsbridge in The Pillars of the Earth, and now in this masterful prequel international bestseller Ken Follett will take us on a journey into a rich past, which will end where his masterpiece begins.",science fiction
The Sun Down Motel,"""The secrets lurking in a rundown roadside motel ensnare a young woman, just as they did her aunt thirty-five years before, in this new atmospheric suspense novel from the national bestselling and award-winning author of The Broken Girls. Upstate NY, 1982. Every small town like Fell, New York, has a place like the Sun Down Motel. Some customers are from out of town, passing through on their way to someplace better. Some are locals, trying to hide their secrets. Viv Delaney works as the night clerk to pay for her move to New York City. But something isn't right at the Sun Down, and before long she's determined to uncover all of the secrets hidden there. Upstate NY, 2017. Carly Kirk has always been fascinated by her aunt Viv who disappeared from the Sun Down before Carly was born. Using a small inheritance from when her mom dies, Carly leaves college to go to Fell to figure out what happened to her aunt thirty-five years ago. Soon, Carly is mirroring her aunt's life, working as the night clerk at the motel, which hasn't changed since 1982. The guest book is still handwritten, the rooms still have actual keys, and a haunting presence still lingers. Carly discovers that Viv had been trying to unravel mysteries of her own--including a possible serial killer working in Fell. If Carly can find the answers Viv was searching for, she might be able to solve the mystery that has haunted her family for years""--",science fiction
A Fraction Of The Whole,"Meet the Deans. Heroes or Criminals? Crackpots or Visionaries? Relatives or Enemies? It's a simple family story. . . The fact is, the whole of Australia despises my father more than any other man, just as they adore my uncle more than any other man. I might as well set the story straight about both of them.' From his prison cell, Jasper Dean tells the unlikely story of his scheming father Martin, his crazy Uncle Terry and how the three of them upset - mostly unintentionally - an entire continent. Incorporating death, parenting (good and bad kinds), one labyrinth, first love, a handbook for criminals, a scheme to make everyone rich and an explosive suggestion box, Steve Toltz's A Fraction of the Whole is a hilarious, heartbreaking story of families and how to survive them. 'Riotously funny. . . deserves a place next to A Confederacy of Dunces.' Wall Street Journal 'A rich father-and-son story packed with incident, humour and characters reminiscent in styles of Charles Dickens and John Irving. . . A Fraction of the Whole soars like a rocket.' LA Times 'A grand achievement and the debut of a great comic talent. But it also has a heart. . . go away and read it.' Sunday Times 'Toltz brings all the energy and assurance of a young Peter Carey to this burlesque, bravura performance.' Irish Times 'A gloriously absorbing, preposterous and funny excursion to the brink of madness and the meaning of life.' Sunday Telegraph",science fiction
Stranger Things: Suspicious Minds,"_____________________________ ‘A pacey, creepy book that does what any good prequel should... this is unmistakably Stranger Things' – SFX Magazine _____________________________ A mysterious lab. A sinister scientist. A secret history. If you think you know the truth behind Eleven’s mother, prepare to have your mind turned Upside Down in this thrilling prequel to the hit show Stranger Things. It’s the summer of 1969, and the shock of conflict reverberates through the youth of America, both at home and abroad. As a student at a quiet college campus in the heartland of Indiana, Terry Ives couldn’t be farther from the front lines of Vietnam or the incendiary protests in Washington. But the world is changing, and Terry isn’t content to watch from the sidelines. When word gets around about an important government experiment in the small town of Hawkins, she signs on as a test subject for the project, code-named MKULTRA. Unmarked vans, a remote lab deep in the woods, mind-altering substances administered by tight-lipped researchers . . . and a mystery the young and restless Terry is determined to uncover. But behind the walls of Hawkins National Laboratory—and the piercing gaze of its director, Dr. Martin Brenner—lurks a conspiracy greater than Terry could have ever imagined. To face it, she’ll need the help of her fellow test subjects, including one so mysterious the world doesn’t know she exists—a young girl with unexplainable superhuman powers and a number instead of a name: 008. Amid the rising tensions of the new decade, Terry Ives and Martin Brenner have begun a different kind of war—one where the human mind is the battlefield.",science fiction
The Magicians,"_____________________________________ 'The Magicians is to Harry Potter as a shot of Irish whiskey is to a glass of weak tea . . . dark and dangerous and full of twists' – GEORGE R. R. MARTIN THE BESTSELLING BOOK BEHIND THE HIT SYFY SHOW _____________________________________ In a secret world of forbidden knowledge, power comes at a terrible price... Quentin Coldwater's life is changed forever by an apparently chance encounter: when he turns up for his entrance interview to Princeton University, he finds his interviewer dead – but a strange envelope bearing Quentin's name leads him down a very different path. Instead of Princeton, he finds himself invited to study at Brakebills – a secret college of modern-day sorcerers. Quentin plunges deep into a secret world of obsession and privilege, a world of freedom and power; and for a while, it seems to answer all Quentin's desires. But the idyll cannot last. There are others powers than sorcery, powers that are as seductive as they are dangerous – and when the illusion of safety shatters, Quentin is drawn into a world far darker than he ever imagined. After all, power corrupts. No exceptions. THE FIRST BOOK IN LEV GROSSMAN'S CRITICALLY ACCLAIMED MAGICIAN TRILOGY _____________________________________ Praise for the Magician Trilogy: 'Stirring, complex, adventurous . . . superb' – JUNOT DIAZ, author of DROWN and THE BRIEF WONDROUS LIFE OF OSCAR WAO 'A sophisticated, subtle novel that is also magical fun' – THE TIMES ‘Lev Grossman has conjured a rare creature: a trilogy that simply gets better and better as it goes along . . . Literary perfection.’ – ERIN MORGENSTERN, author of THE NIGHT CIRCUS 'The Magicians ought to be required reading . . . Lev Grossman has written a terrific, at times almost painfully perceptive novel of the fantastic' – KELLY LINK 'The best fantasy trilogy of the decade' – CHARLES STROSS 'The Magicians is angst-ridden, bleak, occasionally joyous and gloriously readable. Forget Hogwarts: this is where the magic really is.' – SFX 'The Magicians is fantastic, in all senses of the word. It's strange, fanciful, extravagant, eccentric, and truly remarkable – a great story, masterfully told.' – SCOTT SMITH, author of THE RUINS",science fiction
The Numbers Game,"The Numbers Game is a thoughtful story about three generations of women, by the world's favorite storyteller, Danielle Steel. Eileen Jackson is forty. Her marriage is on the rocks, and her self-esteem is at an all-time low. Her children are struggling to come to terms with their parents' divorce and she knows she has to get her life back on track - fast. The realization of her talent and the opportunity to pursue a long-held ambition gives her the confidence to believe in herself and be the happiest she's ever been. Olivia Waters is twenty-seven. Beautiful, clever, successful, she is the woman who Eileen's husband has fallen in love with. What she swiftly comes to understand is that while an affair is fun, she's too young to take on the trappings and responsibilities of a father of three children - she has much to do in her life and she's not prepared to sacrifice ambition just yet. At ninety-two, Olivia's grandmother, Gabrielle, is a talented and internationally successful sculptor. She's enjoying life to the full, she's experienced the highs and lows of youth and middle age and now she knows what she wants out of life and who she wants to be with. Life is for living - at any age. It's about taking opportunities, and knowing when to take them. Because sometimes you have to walk through the storm clouds to discover the sun.",science fiction
Eat Pray Love,"To travel is worth any cost or sacrifice. I am loyal and constant in my love for travel, as I have not always been loyal and constant in my other loves. Newly divorced journalist Elizabeth Gilbert is struggling to carve out an authentic identity in New York. Desperate to reinvigorate her life and connect with the world around her, she embarks on a modern-day pilgrimage. With warmth and humour, Gilbert chronicles a journey from Italy to India and, finally, to Bali. Each country serves as a vivid backdrop for self-exploration as she comes to terms with the choices that have hitherto defined her life, and begins to rediscover herself.",science fiction
The Notebook,"Now major motion picture starring Ryan Gosling (La La Land) and Rachel McAdams (The Time Traveller's Wife) 'When it comes to tales about love, Nicholas Sparks is one of the undisputed kings' Heat How far can love endure? Noah Calhoun has just returned from World War Two. Attempting to escape the ghosts of battle, he tries to concentrate on restoring an old plantation home to its former glory. And yet he is haunted by images of the beautiful girl he met there fourteen years before, a girl who captured his heart like no other. But when these distant memories begin to slide into reality, the passion that had lain still is ignited once more. Though so much is in their way, the miraculous force of their love refuses to fade. Praise for Nicholas Sparks: 'A fiercely romantic and touching tale' Heat 'An A-grade romantic read' OK! 'Pulls at the heartstrings' Sunday Times 'An absorbing page-turner' Daily Mail 'This one won't leave a dry eye' Daily Mirror",science fiction
The House of Broken Angels,"'Epic . . . Rambunctious . . . Highly entertaining' New York Times 'All we do, mija, is love. Love is the answer. Nothing stops it. Not borders. Not death.' In his final days, beloved and ailing patriarch Miguel Angel de La Cruz, affectionately called Big Angel, has summoned his entire clan for one last legendary birthday party. But as the party approaches, his mother, nearly one hundred, dies, transforming the weekend into a farewell doubleheader. Among the guests is Big Angel's half brother, known as Little Angel, who must reckon with the truth that although he shares a father with his siblings, he has not, as a half gringo, shared a life. Across two bittersweet days in their San Diego neighbourhood, the revellers mingle among the palm trees and cacti, celebrating the lives of Big Angel and his mother, and recounting the many inspiring tales that have passed into family lore, the acts both ordinary and heroic that brought these citizens to a fraught and sublime country and allowed them to flourish in the land they have come to call home. Teeming with brilliance and humor, authentic at every turn, The House of Broken Angels is Luis Alberto Urrea at his best, and cements his reputation as a storyteller of the first rank.",science fiction
The Firm,"THE 25TH ANNIVERSARY EDITION OF THE BOOK THAT MADE JOHN GRISHAM A HOUSEHOLD NAME **With a new introduction from the author** _______________________________________ He thought it was his dream job. It turned into his worst nightmare. When Mitch McDeere qualified third in his class at Harvard, offers poured in from every law firm in America. Bendini, Lambert and Locke were a small, well-respected firm, but their offer exceeded Mitch's wildest expectations: a fantastic salary, a new home, and the keys to a brand new BMW. Except for the mysterious deaths of previous lawyers with the firm. And the FBI investigations. And the secret files. Mitch soon realises that he's working for the Mafia's law firm, and there's no way out - because you don't want this company's severance package. To survive, he'll have to play both sides against each other - and navigate a vast criminal conspiracy that goes higher than he ever imagined... _______________________________________ ‘A master at the art of deft characterisation and the skilful delivery of hair-raising crescendos' – Irish Independent 'John Grisham is the master of legal fiction' – Jodi Picoult 'The best thriller writer alive' – Ken Follett ‘John Grisham has perfected the art of cooking up convincing, fast-paced thrillers’ – Telegraph ‘Grisham is a superb, instinctive storyteller’ – The Times ‘Grisham's storytelling genius reminds us that when it comes to legal drama, the master is in a league of his own.’ – Daily Record ‘Masterful – when Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating’ – Mirror ‘A giant of the thriller genre’ – TimeOut",science fiction
The Cactus,"SOON TO BE A NETFLIX ORIGINAL STARRING REESE WITHERSPOON A REESE WITHERSPOON x HELLO SUNSHINE BOOK CLUB PICK 'I found myself laughing out loud at Susan's prickly character' Reese Witherspoon THE NEW YORK TIMES BESTSELLER | SHORTLISTED FOR THE BEST FIRST NOVEL AWARD | A RICHARD AND JUDY BOOK CLUB PICK People aren't sure what to make of Susan Green. Family and colleagues find her prickly and hard to understand - but Susan makes perfect sense to herself. Age 45, she thinks her life is perfect. She has a London flat which is ideal for one; a steady job that suits her passion for logic; and a personal arrangement providing cultural and other, more intimate, benefits. Yet suddenly faced with the loss of her mother and, implausibly, with the possibility of becoming a mother herself, Susan's greatest fear is being realised: she is losing control. And things can only get worse ... at least in Susan's eyes. This sparkling debut is a breath of fresh air with real heart and a powerful emotional punch. In Susan we find a character as exasperating and delightful as The Rosie Project's Don Tillman. An uncompromising feminist and a fierce fighter, it's a joy to watch her bloom. 'Quirky, poignant and extremely readable' Sunday Mirror 'Brilliantly comic' The Lady 'Wonderfully funny and astute' Red 'Funny, compelling, well-written...for fans of Marian Keyes who demand a bit of grit in their comic writing' Emerald Street",science fiction
Barefoot Season,"Michelle Sanderson may appear to be a strong, independent woman, but on the inside, she's still the wounded girl who fled home years ago. A young army vet, Michelle returns to the quaint Blackberry Island Inn to claim her inheritance and recover from the perils of war. Instead, she finds the owner's suite occupied by the last person she wants to see. Carly Williams and Michelle were once inseparable, until a shocking betrayal destroyed their friendship. And now Carly is implicated in the financial disaster lurking behind the Inn's cheerful veneer. Single mother Carly has weathered rumours, lies and secrets for a lifetime, and is finally starting to move forward with love and life. But if the Blackberry Island Inn goes under, Carly and her daughter will go with it. To save their livelihoods, Carly and Michelle will undertake a turbulent truce. It'll take more than a successful season to move beyond their devastating past, but with a little luck and a beautiful summer, they may just rediscover the friendship of a lifetime.",science fiction
The Starless Sea,"From the New York Times bestselling author of The Night Circus, a timeless love story set in a secret underground world—a place of pirates, painters, lovers, liars, and ships that sail upon a starless sea. Zachary Ezra Rawlins is a graduate student in Vermont when he discovers a mysterious book hidden in the stacks. As he turns the pages, entranced by tales of lovelorn prisoners, key collectors, and nameless acolytes, he reads something strange: a story from his own childhood. Bewildered by this inexplicable book and desperate to make sense of how his own life came to be recorded, Zachary uncovers a series of clues—a bee, a key, and a sword—that lead him to a masquerade party in New York, to a secret club, and through a doorway to an ancient library hidden far below the surface of the earth. What Zachary finds in this curious place is more than just a buried home for books and their guardians—it is a place of lost cities and seas, lovers who pass notes under doors and across time, and of stories whispered by the dead. Zachary learns of those who have sacrificed much to protect this realm, relinquishing their sight and their tongues to preserve this archive, and also of those who are intent on its destruction. Together with Mirabel, a fierce, pink-haired protector of the place, and Dorian, a handsome, barefoot man with shifting alliances, Zachary travels the twisting tunnels, darkened stairwells, crowded ballrooms, and sweetly soaked shores of this magical world, discovering his purpose—in both the mysterious book and in his own life.",science fiction
Dominicana,"SHORTLISTED FOR THE WOMEN'S PRIZE FOR FICTION 2020 'A story for now, an important story . . . told with incredible freshness' Martha Lane Fox, Chair of Judges, Women's Prize 2020 'The harsh reality of immigration is balanced with a refreshing dose of humour' The Times 'This compassionate and ingenious novel has an endearing vibrancy in the storytelling that, page after page, makes it addictive reading' Irish Times 'Engrossing . . . the story itself and Ana, the protagonist are terrifically interesting. Loved this' Roxane Gay 'This book is a valentine to my mom and all the unsung Dominicanas like her, for their quiet heroism in making a better life for their families, often at a hefty cost to themselves. Even if Dominicana is a Dominican story, it's also a New York story, and an immigrant story. When I read parts of Dominicana at universities and literary venues both here and abroad, each time, audience members from all cultures and generations came up to me and said, this is my mother's story, my sister's story, my story' Angie Cruz Fifteen-year-old Ana Canción never dreamed of moving to America, the way the girls she grew up with in the Dominican countryside did. But when Juan Ruiz proposes and promises to take her to New York City, she must say yes. It doesn't matter that he is twice her age, that there is no love between them. Their marriage is an opportunity for her entire close-knit family to eventually immigrate. So on New Year's Day, 1965, Ana leaves behind everything she knows and becomes Ana Ruiz, a wife confined to a cold six-floor walk-up in Washington Heights. Lonely and miserable, Ana hatches a reckless plan to escape. But at the bus terminal, she is stopped by César, Juan's free-spirited younger brother, who convinces her to stay. As the Dominican Republic slides into political turmoil, Juan returns to protect his family's assets, leaving César to take care of Ana. Suddenly, Ana is free to take English lessons at a local church, lie on the beach at Coney Island, dance with César at the Audubon Ballroom, and imagine the possibility of a different kind of life in America. When Juan returns, Ana must decide once again between her heart and her duty to her family. In bright, musical prose that reflects the energy of New York City, Dominicana is a vital portrait of the immigrant experience and the timeless coming-of-age story of a young woman finding her voice in the world.",science fiction
The Silent Patient,"WITH OVER A MILLION COPIES SOLD, read the Sunday Times and No.1 New York Times bestselling, record-breaking thriller that everyone is talking about - soon to be a major film. 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. THE SILENT PATIENT is the gripping must-read debut thriller of 2020 - perfect for fans of THE WOMAN IN THE WINDOW by A.J. Finn and THE GIRL BEFORE by JP Delaney.",science fiction
Daddy,"The eagerly-awaited new book by Emma Cline, author of the global phenomenon The Girls The stories in Emma Cline’s stunning first collection consider the dark corners of human experience, exploring the fault lines of power between men and women, parents and children, past and present. A man travels to his son’s school to deal with the fallout of a violent attack and to make sure his son will not lose his college place. But what exactly has his son done? And who is to blame? A young woman trying to make it in LA, working in a clothes shop while taking acting classes, turns to a riskier way of making money but will be forced to confront the danger of the game she’s playing. And a family coming together for Christmas struggle to skate over the lingering darkness caused by the very ordinary brutality of a troubled husband and father. These outstanding stories examine masculinity, male power and broken relationships, while revealing – with astonishing insight and clarity – those moments of misunderstanding that can have life-changing consequences. And there is an unexpected violence, ever-present but unseen, in the depiction of the complicated interactions between men and women, and families. Subtle, sophisticated and displaying an extraordinary understanding of human behaviour, these stories are unforgettable.",science fiction
A Summer Affair,"After the extreme heat of her Nantucket studio causes her to go into early labour and almost lose her youngest son, renowned artist Claire Danner Crispin now devotes her life to her four children, and her husband Jason. But when Lock Dixon asks Claire to help organise the annual Nantucket Gala, she is given a new sense of purpose. Asked partly in the hope that she can persuade her school sweetheart, now a world-famous rock star, to play at the event, Claire is tempted by the challenge. On the brink of a decision that could threaten her marriage, she is in danger of becoming closer to Lock than either of them had intended . . .",science fiction
Labyrinth,"The #1 New York Times bestselling FBI Thriller series returns with another tour de force in which agents Savich and Sherlock stumble into a bizarre case that’s more complicated and twisted than any they’ve ever encountered. On a Tuesday afternoon, Agent Sherlock is driving in downtown Washington when her Volvo is suddenly T-boned at an intersection. As her car spins out of control, a man’s body slams against her windshield and then – blackness. When she finally regains consciousness in the hospital, she’s told about the accident and the man she struck. No one knows yet who he is or where he is because he ran away. From DNA, they discover his name is Justice Cummings and he’s a CIA analyst at Langley . . . and he’s still missing. Meanwhile, in the small town of Gaffer’s Ridge, Virginia, Special Agent Griffin Hammersmith rescues Carson DeSilva, a kidnapped woman who claims her captor had probably murdered three missing teenage girls. However, the man she accuses is the local sheriff’s nephew and a member of a very powerful family, reputed to have special powers. When the sheriff arrests Griffin and Carson, he calls Savich for help. Together they have to weave their way through a labyrinth of lies to find the truth of a terrible secret. Labyrinth is an electrifying novel with shocking twists and turns that will keep you on the edge of your seat.",science fiction
The Kingdom,"Jo Nesbo, author of the bestselling Harry Hole crime series, is back with a vivid psychological thriller about the bond between orphaned brothers. How far would you go to be your brother's keeper? Before Roy's father died in the car crash that also killed Roy's mother, he told his teenaged son that it was his job to protect his little brother, Carl, from the world and from Carl's own impulsive nature. Roy took that job seriously, especially after the two were orphaned. But a small part of him was happy when Carl decided that the tiny town of Os in the mountains of Norway wasn't big enough to hold him and took off to Canada to make his fortune. Which left Roy to pursue the quiet life he loved as a mechanic in the place where they grew up. Then suddenly an older Carl is back, full of big plans to develop a resort hotel on the family land, promising that not only will the brothers strike it rich, but so will the town. With him is his fierce and beautiful wife, Shannon, an architect he met on his travels, a woman who soon breaks down the lonely Roy's walls. And Carl's reappearance sparks something even more dangerous than envy in his brother's heart--it sparks fear. Carl's homecoming threatens to shake loose every carefully buried family secret. As psychologically acute as it is disturbing, with plot twists you never see coming, Jo Nesbo's new novel is the work of a master of noir at the top of his game.",science fiction
The Carpetbaggers,"From New York to California, from the prosperity of the aeronautical industry to the glitter and glamour of Hollywood, multimillionaire Jonas Cord and sensuous film star Rina Marlow discover a world of forbidden secrets, intrigue, ambitions, and passion. Reprint.",science fiction
The Great Alone,"Lenora Allbright is 13 when her father convinces her mother, Cora, to forgo their inauspicious existence in Seattle and move to Kaneq, AK. It's 1974, and the former Vietnam POW sees a better future away from the noise and nightmares that plague him. Having been left a homestead by a buddy who died in the war, Ernt is secure in his beliefs, but never was a family less prepared for the reality of Alaska, the long, cold winters and isolation. Locals want to help out, especially classmate Matthew Walker, who likes everything about Leni. Yet the harsh conditions bring out the worst in Ernt, whose paranoia takes over their lives and exacerbates what Leni sees as the toxic relationship between her parents. The Allbrights are as green as greenhorns can be, and even first love must endure unimaginable hardship and tragedy as the wilderness tries to claim more victims.",science fiction
She Came to Stay,"""One of the most acute and thoughtful achievements of French fiction at mid-century."" -- New York Times",science fiction
The House Girl,"The House Girl, the historical fiction debut by Tara Conklin, is an unforgettable story of love, history, and a search for justice, set in modern-day New York and 1852 Virginia. Weaving together the story of an escaped slave in the pre–Civil War South and a determined junior lawyer, The House Girl follows Lina Sparrow as she looks for an appropriate lead plaintiff in a lawsuit seeking compensation for families of slaves. In her research, she learns about Lu Anne Bell, a renowned prewar artist whose famous works might have actually been painted by her slave, Josephine. Featuring two remarkable, unforgettable heroines, Tara Conklin's The House Girl is riveting and powerful, literary fiction at its very best.",science fiction
The Dinner List,"'We've been waiting for an hour.' That's what Audrey says. She states it with a little bit of an edge, her words just bordering on cursive. That's the thing I think first. Not, Audrey Hepburn is at my birthday dinner, but Audrey Hepburn is annoyed. What if your dream dinner party were to actually happen? For New Yorker Sabrina, fantasy becomes reality when she arrives at her thirtieth-birthday celebration to find not only her best friend but also her long-dead father, her admired philosophy professor, the love of her life - and silver-screen icon Audrey Hepburn. Unbelievable though this may seem, as the wine and conversation start to flow it becomes clear that these individuals have each played a crucial role in the course Sabrina's life has taken - and that they have come together at this moment in time for a reason... Follow Sabrina over one evening and ten years as she grapples with the definition of romance, the expectations of love - and how to navigate her way to happiness in this bittersweet romance for our times. 'wistful, delicious, romantic, magical' Gabrielle Zevin, New York Times bestselling author",science fiction
All This Could Be Yours,"Victor Tuchman - a power-hungry real estate developer and an all-round bad man - is finally on his deathbed. His daughter Alex feels she can finally unearth the secrets of who he really was and what he did over the course of his life. She travels to New Orleans to be with her family, but mostly to interrogate her tight-lipped mother, Barbra. As Barbra fends off Alex's unrelenting questions, she reflects on her tumultuous married life. Meanwhile Gary, Alex's brother, is incommunicado, trying to get his movie career off the ground in Los Angeles. And Gary's wife, Twyla, is having a nervous breakdown, buying up all the lipstick in drug stores while bursting into crying fits. As each family member grapples with Victor's history, they must figure out a way to move forward - with one another, for themselves and for the sake of their children. * The Washington Post Top Ten Books * Vanity Fair Fall's best new fiction * People Magazine Book of the Week * Time Magazine Must-Read* BBC Culture Must-read *People Best Books of Fall 2019* Amazon, October Pick * Entertainment Weekly Must-read Books * Refinery29 Favourite Books of October * Vulture Best and Biggest Books to Read This Fall* New York Observer Must-read * USA Today Must-Read * Salon Must-read *",science fiction
Blindness,"Saramago guides readers through an immersive experience of a terrifying predicament. A driver waiting at the traffic lights goes blind. An opthamologist tries to diagnose his distinctive white blindness, but is affected before he can read the textbooks. It becomes a contagion, spreading throughout the city. Trying to stem the epidemic, the authorities herd the afflicted into a mental asylum where the wards are terrorised by blind thugs. And when fire destroys the asylum, the inmates burst forth and the last links with a supposedly civilised society are snapped. No food, no water, no government, no obligation, no order. This is not anarchy, this is blindness.",science fiction
