title,description,genre
the dawn of christmas,old order amish sadie yoder and levi fischer are each determined to remain single but what happens when two friends start to truly care  ,romance
the white lie,'one hot summer day michael salter nineteen year old scion of a posh highland family disappears  when his childlike aunt claims she drowned him during a fight the family closes ranks  no police  no memorial service  no titbits for village gossips  a decade of deceit begins  financial times the salter family orbits around peattie house their crumbling scottish estate filled with threadbare furniture patrician memories and all the secrets that go with them  while they are gathered for their grandmother's seventieth birthday someone breaks the silence  the web begins to unravel  from beyond the grave michael loops back into the past until we see beyond perception and memory how deeply our decisions resound and just what is the place and price of grandeur,romance
the forever girl,from the author of the best selling and universally adored no  1 ladies' detective agency series a stand alone big hearted and often heartbreaking novel about unrequited love and the unexpected places it takes us  at age 4 thursday chooses her own name  at age 6 she falls in love with her best friend james with whom she happily spends all her time  but in the adult world things are not so simple: at the same time that thursday's mother finds she's fallen out of love with her husband she realizes that james's father is interested in her  as the children grow into adulthood their connection becomes more complicated as well: james drifts away from thursday but she keeps him in her sights: she attends the same college in scotland and then follows him to london sydney singapore rebuilding her life in every city hoping each time that james will see what he is missing  as thursday and james and their parents navigate their irresistible but baffling mazes of emotion we are given a beautifully realized tale about how love even if unrequited can shape a life ,romance
the bachelor baker,opening a business isn't a piece of cake something melissa sweeney discoves whan an anonymous benefactor brings her to bygones kansas  she can't fulfill her longtime dream of starting up her own bakery without help  but with his traditional views of work and family brian montclair is the unlikeliest candidate for the job  even more surprising is the powerful attraction sprouting up between the rugged mechanic and his fiercely independent new boss  brian's heart and soul belong to his hardworking community that is slowly coming back to life  melissa wants to be part of that transformation if she can make brian believe they can be true partners in everything including love  page 4 of cover ,romance
obsessed by him,claimed by him taken by him bound by him kept by him and bared by him  five billionaires  five friends  five stories about five men are driven by dark desires and powerful love  they know what they want including the incredible women who surrender to a passion so consuming they will never be the same ,romance
tail of two hearts,chase rollins has much to be grateful for  a new home a new career running the fluff  stuff pet store and new friends  but he could have so much more  lovely bookstore clerk vivian duncan just might be the perfect wife  but when viv becomes a foster mother to four month old theo chase knows he has a problem  a life with vivian will mean a life with children and that's one challenge he's not sure he'd ready to tackle  can viv and theo convince him that a family is the biggest blessing of all ,romance
wildfire in his arms,with his work in montana completed now that the callahan warren feud has ended in marriage rather than bloodshed degan grant sets out for california because it is far away from the home he wants to forget  until the u s  marshal who saved his life calls in a favor  all degan has to do is apprehend three outlaws on the marshal's list and turn them over to the law  easy enough he figures for a man no one wants to tangle with  but then a bold young woman crosses his path  maxine grew up so pretty and attracted so much unwanted attention in her texas hometown that events spiraled out of control  she will try anything to escape the handsome enigmatic gunfighter who intends to turn her over to a corrupt sheriff who will hang her instead of putting her on trial  saddled with a sassy spirited young woman who insists she is innocent degan must hunt down a vicious killer and keep an old enemy at bay  but forced into intimate proximity with his beguiling prisoner he finds his desire sparking into a wildfire of passion and he can no longer deny that it is time for them to risk confronting their pasts so he can have a chance at a future with her in his arms forever ,romance
a gentleman always remembers,married young to a charming but improvident army officer eve hawthorne was widowed with little left except for a few extravagant trifles  desperate to avoid her domineering stepmother she accepts employment as chaperone to the earl of stewkesbury's american cousins  who better than a levelheaded widow to remind these young girls that they no longer live on a frontier but when she flirts with a handsome stranger who turns out to be the earl's brother fitz eve worries she's given the wrong impression  trying to prove herself responsible with fitz challenging her at every turn is hard enough but a blackmailer with an interest in eve's prior marriage proves far more troubling  with the earl away eve can turn only to fitz for help  but dare she confide in him when getting too close to this confirmed bachelor might risk her heart to his alluring ways  taken from cover p 4 ,romance
sleigh bell sweethearts,owning her own plane is all charter pilot zoey hathaway's ever dreamed of  so when she inherits a struggling reindeer farm with three dozen unruly reindeer and one dangerously attractive ranch hand zoey's well crafted plans seem to fly out the window  now she must put her trust in alec wynn and hope that the troubled cowboy's past will not interfere with her plans to save the farm  zoey knows that if she wants to succeed she can't do everything on her own  but as she accepts alec's help she will soon realize it is not just her farm that's at stake but her heart  page 4 of cover ,romance
snow bride,she'd always wanted to marry him    from the time she was a teenager colleen bryan had loved gunnar larson  with his broad shoulders and sexy swagger he'd been everything she'd ever dreamed of  and now snowbound with him in the wilds of wyoming she set out to prove she was much more than his best friend's 'baby' sister  but her best laid plans went astray  she and gunnar had their night of passion and a child  their child  was the result  but she couldn't quite believe his words of love and she couldn't help but suspect that the marriage he proposed came from a sense of duty   not devotion ,romance
alaskan homecoming,ballet dancer posy sutton is only back in her hometown of aurora alaska until her injury heals  it's a decision that'd be easier to stick to if she didn't keep bumping into her charming ex boyfriend liam blake  after six years she should be over him but instead all she can see is the mistake she made when she left him  she's not sure she can handle choosing between liam and ballet a second time     if liam is even willing to risk his heart again     page 4 of cover ,romance
jane austen's first love,inspired by actual events fifteen year old jane austen dreams of three things: doing something useful writing something worthy and falling madly in love  when she visits her brother in kent to celebrate his engagement she meets wealthy devilishly handsome edward taylor a fascinating young man who is truly worthy of her affections  jane knows a match between her and edward is unlikely but every moment she spends with him makes her heart race and he seems to return her interest  much to her displeasure however there is another seeking his attention unsure of her budding relationship jane seeks distraction by attempting to correct the pairings of three other prospective couples  but when her matchmaking aspirations do not all turn out as anticipated jane discovers the danger of relying on first impressions  the human heart cannot be easily deciphered nor can it be directed or managed  and if others must be left to their own devices in matters of love and matrimony can jane even hope to satisfy her own heart  ,romance
amish christmas joy,one minute caleb mast is an oil rig roughneck who answers to no one but himself  the next he's the father of a special needs child he never knew existed  what kind of home can a man like him  without faith or community  provide for an eight year old girl for little joy's sake caleb returns to the amish community he left behind years ago  his daughter bonds with amish schoolteacher leah belier and caleb feels hopeful for once  but leah blames caleb for dashing long ago dreams and can't bear to trust him  with christmas weeks away one special girl just may bring two hearts  and an entire community  together ,romance
cold feet,pre wedding jitters turn into serious doubts in this fresh and funny debut about tying the knot and untethering from the past     everyone's expecting her to walk down the aisle  but something is telling her to run  emma moon's mother thinks it's acceptable to miss her only daughter's wedding rehearsal dinner for a work obligation  her father left when she was six months old  emma hasn't exactly been raised to be a happily ever after kind of girl  so when her anxieties get out of hand emma and her best friend liv decide to take a road trip to san francisco find her long lost father and put her family issues to rest  but her quest for the truth stirs up events and emotions she didn't expect  the urge to run away may just be a part of emma's genetic makeup because she's growing more and more tempted to do just that   ,romance
dangerous lies,after witnessing a murder high school senior stella gordon is sent to nebraska for her own safety where she chafes at her protection but when she meets chet falconer it becomes harder for her to keep her guard up and soon she has to deal with the real threat to her life as her enemies are actually closer than she thinks ,romance
undaunted,aubrey evans has always had a plan and her admittance to her dream school reed college is the next step in her carefully constructed world  but when her father is indicted for embezzling and her mother is selling everything she can and hiding the profits any money for her tuition is gone  sent to live with her grandmother in rural williamsville tennessee aubrey is just trying to get by and save enough money to get her back to reed  but her plan never included zion a member of the local motorcycle club the southern wolves or his flirty cousin noah who always manages to make her smile  a knight in black leather zion is always there when aubrey's in trouble  he looks like every bad idea she's been told to avoid but she can't seem to resist him  as vandalism and destruction plague the town they work together to repair the damage and aubrey begins to see beyond his rough and tough exterior  but she has no plans to stay in williamsville and finding herself falling for zion aubrey runs into noah's arms desperate to forget what she feels for the biker  noah is only offering fun and friendship exactly what she thinks she wants but she can't manage to get zion out of her mind  when aubrey is personally attacked and discovers the identity of the criminal behind it all she has to choose between the plan she thought she always wanted and the man she can't seem to give up ,romance
do or die,former navy seal ian dunn has been tasked by a mysterious government agency with rescuing two kidnapped children believed to have been taken prisoner in a south american embassy  leading the mission alongside phoebe kruger the new hire at the prestigious law firm where dunn is a longtime client dunn will embark on a race against time while simultaneously dealing with an equally pressing danger  he's being hunted by the mob for a job gone bust  in the midst of all this phoebe gets sucked deeper and deeper into dunn's clandestine world and dunn faces some surprises of his own as he slowly becomes aware of phoebe's sharp intelligence keen sense of humor and generous heart things he's been missing all his life ,romance
the underwriting, todd kent is young hot and on his way to the top of wall street when the eccentric founder of hook the popular new dating app handpicks him to lead its ipo  given just two months to pull it off todd and his investment banking team  brainy neha party boy beau and old college flame tara taylor  race to close the  14 billion deal of the decade  it's the chance of a lifetime for tara too who sees her opportunity to break through the glass ceiling and justify six years of sacrifices for her career  but nothing is what it seems in silicon valley and when tragedy strikes stanford university's campus there's no telling where the sparks will fly ,romance
ever after, she learns of her luck from jared montgomery who arranges for her to take on his cousin james taggert as a private physical therapy client for the summer  hallie expects a spoiled frivolous playboy but jamie surprises her by being kind considerate and humble  not to mention incredibly strong and handsome  but jamie's hiding something: every night hallie hears him crying out in his sleep  finding that only her presence can calm him hallie begins spending the night with jamie sneaking away every morning before he wakes up  it's not until jamie's extended family descends onto the island to celebrate a lavish wedding that she discovers the truth: jamie was a soldier wounded in combat while saving a friend and has suffered from ptsd since his return  jamie withdraws embarrassed by his vulnerability while hallie questions how she can trust him after he's lied to her all summer  but as the two team up to solve another of nantucket's enchanting mysteries whether it's the romantic island setting or possibly the work of some meddling matchmaker ghosts jamie begins to realize maybe he's found the one woman who can love him for who he is scars and all ,romance
leaving amarillo,music is my everything  after my parents died when i was a kid moving into my grandparents' ramshackle house on a dirt road in amarillo seemed like a nightmare  until i stumbled upon my grandfather's shed full of instruments  my soul lives between the strings of oz my secondhand fiddle and it soars when i play  in houston i'm a typical college student on my way to becoming a classically trained violinist headed straight for the orchestra pit  we have one shot to make it and i have one shot to live the life i was meant to  this is our moment  there's only one problem  i have a secret     one that could destroy everyone i care about  his name is gavin garrison and he's our drummer  he's also my brother's best friend the one who promised he'd never lay a hand on me  he's the one person i can't have and yet he's the only one i want  one week  one hotel room  i don't know if i can do this  i just know that i have to ,romance
top secret twenty-one,trenton new jersey's favorite used car dealer jimmy poletti was caught selling a lot more than used cars out of his dealerships  now he's out on bail and has missed his date in court and bounty hunter stephanie plum is looking to bring him in ,romance
dark future,awakened in the middle of the night by a future version of herself kris davenport is given a mission: go forward in time to save the world and his life  of course her future self doesn't tell her who he is just sends her into the abyss and straight into an alien invasion  he turns out to be conrad smith the callous untrusting commander of earth's army and the world's last defense  there's only one way for smith to know for sure if this strange woman is an alien spy slice her throat  except he didn't anticipate the desire he would feel as he interrogates the hot tempered warm blooded woman  for a man whose sole focus has been survival she's more temptation than he can handle  but a world on the brink of destruction leaves no room for love and time is running out page 4 of cover ,romance
search for tomorrow,with one quick tragic car accident abigail loses her family and fiance and finds herself desperately alone  broken in body and in spirit but hoping nonetheless for a new beginning abigail accepts a job as a housekeeper for the stevens family on their farm outside brisbane australia  she also assumes a new identity: perhaps as gail brand she can face the future unafraid  through the patient and loving understanding of jim stevens his mother and aunt gail is forced to relive her nightmares amid a maze of puzzling coincidences  will gail ever accept the past for what it is' will her search for a new tomorrow ever end',romance
texas wedding,the days of susannah everly dreaming about white dresses churches and trent maxwell are long gone   so it's more than a little funny that she finds herself actually married to the guy   but she's determined to save the family ranch by any means possible and if trent is those means      cover verso ,romance
the mistress deception,driven by desire  or deception when rachel blair had offered to help matthew riordan undress after a party her intentions had been purely innocent  she'd been trying to avoid a scandal  instead she found herself being blackmailed yet matthew oozed sex appeal he simply didn't need to blackmail rachel into his bed or was this some kind of revenge plan because rachel had clashed with him over a business deal matthew certainly wanted rachel as his mistress  but was he driven by desire  or deception ,romance
crazy for love,after chloe turner's fianc fakes his death in a plane crash she escapes to a remote island to avoid the paparazzi  and right next door is max sullivan a treasure hunting millionaire who just might be the cure for chloe's heartache ,romance
a legacy of secrets,personal assistant ella is never without her 'santo bag'  not the latest designer 'must have ' but emergency supplies to handle whatever the devilish santo corretti throws at her  but no pair of sunglasses will cover the darkness in her boss's eyes this morning  page 4 of cover ,romance
against the storm,redheads like maggie o'connell are nothing but trouble  but trace rawlins a former army ranger turned private investigator takes the case anyway  after all he knows a thing or two about women ,romance
a hunger for the forbidden & the highest price to pay,hunger for the forbidden: scandalized  seduced: to desire a corretti     alessia battaglia is a vision in white     as she flees the church  she's abandoned her fiance praying that his cousin matteo corretti will come after her  because there are two things matteo doesn't know     alessia is pregnant and the child is his the highest price to pay: all about the money blaise chevalier intends to discard ella stanton's failing business that is until he meets her cast in the same fiery mold she's an intriguing adversary  proud and beautiful ella's determined to prove blaise wrong     if she can just ignore the flicker of attraction burning between them  ,romance
an inheritance of shame,angelo corretti has one mistress revenge  heartless empty and darkly sexy he's gone from pawn to king with one objective     destroy the corretti dynasty: the family who cruelly rejected him for his illegitimacy   but once long ago there was a wide eyed girl with an innocent heart  for one night lucia gave him everything when he needed it most before he walked away at dawn  now on the cusp of absolute power angelo will look into those eyes again and learn of the consequences he left behind publisher ,romance
yuletide baby surprise,a princess on the run from the photo hungry press invades dr  rowan boothe's hotel room  he and mariama mandara had their professional clashes in the past and rowan has no desire to become involved in her latest predicament until they discover an abandoned baby  now he needs mari's help and soon discovers she's no pampered royal but a desirable woman ,romance
"winter dreams, christmas love",back coverfrom the moment she meets him ellen marlowe is in love  star of the swim team with dark hair and a sexy smile upperclassman michael tyler is the guy every girl at jefferson high wants to date  ellen only a freshman knows she doesn't stand a chance  but when her eyes meet michaels across the crowed hallway at school when he lingers after school with her when he drives her home on a snowy night something in his look and something in his touch tell her that he's more interested than he pretends  even over the long summers apart ellen can't stop thinking of michael  when michael goes off to college ellen wonders if at last she'll be able to get over him  or will the ache of longing always remain ,romance
a nantucket christmas,from the lighthouse sporting a huge wreath to the christmas stroll along its quaint streets holidays on nantucket are always magical  however while the town might be aglow like a scene from dickens tale unfortunately for newly married island newcomer nicole somerset christmas means a dreaded visit from her step daughter  headstrong kennedy brings with her a family of her own husband archer and adorable 3 year old son maddox but kennedy's yet to get over her parents' divorce  pregnant and highly emotional in an attempt to reconcile her father and mother kennedy sets in motion a scheme to sabotage nicole's meticulous holiday preparations  when kennedy's glamorous mother appears on the somerset doorstep kennedy thinks her devious plan might just work  holidays may be a perfect time for reconciliation but they are also known for miracles  even before the gifts are unwrapped other visitors will make unexpected appearances and sweet little maddox gets his most fervent christmas wish ,romance
the case of the confirmed bachelor,unlike tabitha harvey  tabby had lived in the house next door to nick's childhood home for years  stable and understated she craved a home children and a man who would love her  too bad she'd already given her heart to a confirmed bachelor who'd run at the first hint of commitment  unless     could she change his ways ,romance
untamed,stanton rourke lives life on the edge  the steely mercenary is dangerous in every way     especially to clarisse carrington's heart  she and rourke were playmates as children but she's not the innocent girl he once knew  when tragedy robbed clarisse of her entire family her life was changed forever  besides she's a grown woman now and there are secrets that hold her back from succumbing to her pursuer  as she struggles to keep her distance sparks as hot as a texas summer fly between them  but danger is following clarisse leaving her no choice but to rely on rourke even as the old wounds lying dormant between them flare up again    ,romance
invincible,mercenary by name and by nature carson is a lakota sioux who stays to himself and never keeps women around long enough for anything emotional to develop  working with cash grier on a murder investigation provides carson with the fun of shocking cash's sweet but traditional secretary carlie blair with tales of his conquests  then carlie lands in deep trouble  she saw something she shouldn't have  carlie is now the key piece of evidence in a high profile murder case  and her only protection is carson ,romance
written in my own heart's blood, the story unfolded from there in seven bestselling novels and cnn has called it a grand adventure written on a canvas that probes the heart weighs the soul and measures the human spirit across [centuries]  1778: france declares war on great britain the british army leaves philadelphia and george washington's troops leave valley forge in pursuit  at this moment jamie fraser returns from a presumed watery grave to discover that his best friend has married his wife his illegitimate son has discovered (to his horror) who his father really is and his beloved nephew ian wants to marry a quaker  meanwhile jamie's wife claire and his sister jenny are busy picking up the pieces  the frasers can only be thankful that their daughter brianna and her family are safe in twentieth century scotland or not  in fact brianna is searching for her own son who was kidnapped by a man determined to learn her family's secrets  her husband roger has ventured into the past in search of the missing boy never suspecting that the object of his quest has not left the present  now with roger out of the way the kidnapper can focus on his true target: brianna herself,romance
the madman's daughter,dr  moreau's daughter juliet travels to her estranged father's island only to encounter murder medical horrors and a love triangle ,romance
the officer and the secret,after a rougher than expected deployment captain dwayne robertson craves the sense of normalcy that his friends can bring him  but when he returns home there's an unexpected but pleasant twist in the mix veronica gibson  as he struggles to adjust to daily life again dwayne craves veronica and the peace she brings him  but veronica isn't without faults  dwayne hates lies and veronica's entire past is a well guarded mystery  when the completely unexpected happens they both realize it's time to lay their cards on the table and hope they're ready for love  ,romance
a forgotten girl,strange things begin to happen when alix's family inherits part of an island someone attempts to scare them away ,romance
getting even,revenge has never been such fun how would you feel if your best friend at work betrayed you was secretly having an affair with an influential colleague won a coveted promotion then teamed you up with a mere junior leaving you feeling completely demoted what would you do for ivy there's no choice  the only person she has ever trusted orianna has blown it big time  so there's only one way forward: revenge  ivy's campaign is brilliant if horribly destructive and she's determined to get even with the woman who has dared to cross her,romance
captive, twenty five year old tristan doran enjoys a life of incredible power and privilege  as a direct descendant of the keepers witches who have embraced dark magic he defers to no one but his overlord lord bosque mar  for most of his life tristan has been kept out of the centuries old witches war his bloodline too valuable to risk in battle  but when a beautiful young human searcher named sarah is captured and made a prisoner in his irish castle tristan's infatuation with her flings him headlong into the fray,romance
one lucky cowboy,no big blond cowboy is going to intimidate this spitfire    if slade luckadeau thinks he can run her off his ranch he's got cow chips for brains    this smart talking ranch woman is giving him serious pains    she's winning every argument and he's running out of fights to pick    with his granny up to some serious matchmaking and trouble with a capital 't' threatening the double l ranch suddenly it's slade's heart that's in the greatest danger of all    p  [4] of cover ,romance
pregnancy of passion,the sicilian's pregnant wife   it was a year since their tempestuous affair had ended  so why was he back elisa trusted salvatore di vitale as far as she could throw him  and as the wealthy sicilian was over six feet tall that wasn't very far salvatore told elisa he had come to protect her  and if their close proximity led to passion   and if passion should lead to pregnancy   all the better because then elisa would have to marry him which was salvatore's plan all along ,romance
the revenge affair,mission: to steal a bridegroom joshua wade was convinced that regan frances was plotting to disrupt his wedding  why else would she have agreed to organize the big day  when she clearly had a grudge against him regan had to admit there was unfinished business between them: a reckless one night stand    regan wasn't out for revenge though she did have a hidden reason for getting close to joshua's family  only she could never reveal her secret plans  not even when joshua confessed his engagement was a sham and he wanted his ring on regan's finger also published as revenge ,romance
taming the last st. claire,there's only one  resolutely single st claire male left     34 year old gideon st claire's life revolves around work  just the way he likes it  he's master of his emotions and the women he dates never get glimpses of his home life beyond the stairs leading to his bedroom     but for how long feisty and fun loving with the annoying knack of knowing just how to wind gideon up joey mckinley 28 is the sort of woman he avoids  how does he handle such enthusiasm but when an old enemy of joey's starts looking for revenge gideon's forced to keep watch over her  day and night publisher ,romance
bright skies,the arrival of a dark stranger destroys an island paradise for radiant young pat carey  fr  trying desperately to mend a broken heart beautiful young pat carey threw herself into the whirl of honolulu's fabulous social life   until the man she had met and loved so briefly on the mainland arrived in hawaii drawing pat into a ruthless net of intrigue and a love so urgent it could not be denied  goodreads,romance
unforgivable,when she is forced to destroy her reputation and let a killer walk free to save the people she loves most dna expert mia voss with the help of detective ric santos must catch a twisted madman who is linked to a long buried cold case that has haunted her for years ,romance
how we learn,from an early age we are told that restlessness distraction and ignorance are the enemies of success  learning is all self discipline so we must confine ourselves to designated study areas turn off the music and maintain a strict ritual  what he discovers is that from the moment we are born we all learn quickly efficiently and automatically but in our zeal to systematize the process we have ignored valuable naturally enjoyable learning tools like forgetting sleeping and daydreaming  is a dedicated desk in a quiet room really the best way to study can altering your routine improve your recall are there times when distraction is good is repetition necessary carey's search for answers to these questions yields a wealth of strategies that make learning more a part of our everyday lives and less of a chore  from publisher description ,romance
lead me on,margot walker's anonymous basket is all about risque  and reward eighty pieces of paper are tucked inside each listing a different destination  and each destination is an erotic promise     cowboy clint barrows knows margot is the one who got away and he's determined to find out exactly what is in her basket and meet each naughty adventure with one of his own page 4 of cover ,romance
his by design,ziara divan came from nothing and worked hard to earn her position at atlanta's most prestigious bridal fashion house  so when her new boss sloan creighton tries to seduce her in a power play she's not having it  she won't climb the corporate ladder right into the boss's bed     even if he's irresistible  sloan will have his way in business and in pleasure  he'll regain control of his father's company and he'll have this woman not necessarily in that order  but just as his plans fall into place ziara's past threatens to tear them apart at the seams  page 4 of cover ,romance
accidentally expecting!,on a trip to italy ferne edmunds is dazzled by lighthearted charmer dante rinucci  what she doesn't realize is that it's easy for dante to live for the moment when every day could be his last  but when ferne discovers she's accidentally pregnant dante's chance to be called daddy gives him a reason to fight  this baby could save dante's life ,romance
in petrakis's power,to safeguard her family's future natalie carr must make a deal with the devil ludo petrakis  she doesn't trust him but the energy between them leaves her breathless and powerless  so natalie agrees to his outlandish proposition: travel to greeceas his fiance natalie can see the cracks in ludo's unshakable control as the lines between pretense and reality blur  in challenge to his terms she longs to expose the shadows behind his eyes and it's getting harder and harder to resist the smoldering tension between them ,romance
for love of ivy,movie tie in  front cover art of sidney poitier back cover stills of potier abbey lincoln nan martin and beau bridges ,romance
fools masquerade (signet regency romance),a lady in disguisevalentine ardsley disguised herself as a teenaged boy to take a job as a groom on the magnificent yorkshire estate of the arrogantly self assured imperiously handsome lord diccon leyburn  but her daring escape from the narrow confines of young ladyhood did not last long valentine was unmasked by lord leyburn with shameful ease  even worse when leyburn made her an offer of marriage he made it insultingly clear that this was a matter of duty on his part and certainly not desire never would valentine accept such an odious offer  instead she would go to london to find a gentleman who would really love her  even if this meant pretending she could love any man but the infuriatingly irresistible lord leyburn in return   ,romance
"the fallen greek bride, at the greek boss's bidding",fallen greek bride: infamous morgan copeland has graced the tabloids as america's sweetheart for years  until scandalous family allegations change the headlines overnight to socialite in disgrace her reputation in tatters and holding on to the last shreds of her pride morgan seeks her estranged husband's help knowing that to convince merciless drakon xanthis she will have to get down on her knees and beg     at first morgan had merely been the greek's trophy bride but their explosive passion shocked them both leaving morgan with only one weapon left to negotiate with: her body publisher at the greek boss's bidding: impossible infuriating and irresistible kristian koumantaros is the most difficult patient elizabeth's ever met  the arrogant greek billionaire likes being in control and isn't adjusting to being temporarily blinded after a helicopter crash  alone with kristian at his luxurious retreat elizabeth experiences the full force of his sexual charisma  she knows she'll have to leave but kristian will use every weapon he has to entice her to stay and play  publisher ,romance
the untamed one (book 2 of the wild wulfs of london),running from angry villagers and the man who ravaged her the witch lucinda flees into the forest to have her child  but lord jackson wulf hunts her down believing her death will break the family curse that transforms him into a monster  instead of killing the witch jackson is moved by her beauty and desperate plight  and lucinda seizes the chance to find safety for herself and her babe when a bargain is struck between this outcast woman and this doomed manand sealed by their marriage in name only,romance
strathmere's bride,what sort of governess couldn't govern herself one who had the enigmatic duke of strathmere for an employer chloe pesserat reflected wryly  the man drew her in with a private passion then shut her out with a noble hauteur when propriety demanded  but what could be done about the decidedly improper feelings she knew they shared jareth hunt feared the ancient strathmere title would consume him  hadn't its rigid demands already left his life forever changed and now ironically he was confronted daily with chloe pesserat an ungovernable governess who no doubt could school him well in the lessons of the heart ,romance
reasons of the heart,the cabin was to be a sanctuarythe one place in new zealand for her to contemplate the drastic changes she was planning in her life  but francesca lewis found it already occupied  ross tarrant an uncomfortable reminder of her naive adolescent days was firmly and legitimately ensconced she had outgrown the embarrassing memories but had never forgotten him and found he still left her light headed and breathless ross saw francesca as a challenge the old chemistry between them still strong  yet beneath the mature successful facade he exposed the same insecure vulnerable girl she'd once been ,romance
twin targets,the witness protection program was supposed to keep jade summers's sister safe  so why is u s  marshal micah mcgraw saying her twin is dead jade doesn't get the chance to ask because their meeting is interrupted by ruby's killers  the mob is after jade     but neither micah nor jade know why  somehow it's connected to a decades old crime  finding the truth could be disastrous but lives depend on it  several women are in danger     and jade is the first one in the killer's sights publisher description ,romance
the marine's baby,the u s  marine corps made a man out of nathan morningway  but the orphaned baby girl left to him by his military buddy made him a father  a single father  with no training in diaper duty let alone parenthood nathan heads home to morningway lodge where he's not exactly warmly welcomed by his family  but day care worker jessica sabin helps care for little gracie and teaches him how to be a daddy  that seems to make jessica happy  so why does she look so sad sometimes nathan's new mission: to find out and make jessica smile forever publisher ,romance
"untamed italian, blackmailed innocent",no woman has ever shunned wicked italian tycoon zac delucca but sweet studious sally is in a world of her own looking after her sick mother  little does she realize her unfocused disinterest is driving zac's fury especially as her father is responsible for embezzling millions from his company  there's a debt to be paid  zac will offer sally an ultimatum become his mistress on demand or risk ruin he's confident she'll make the right choice    ,romance
silent protector,his life as a u s  marshal was something pastor ian mcneal had left behind   until he's asked to care for little charlie troop  the boy witnessed a terrible crime and hasn't spoken since except to his auntie liz the one adult he trusts  ian just wants to find the truth something only charlie can reveal  but charlie isn't talking and liz is determined to protect charlie against anyone who'd hurt frighten or pressure him including ian  yet with a killer dead set on making sure charlie never speaks again a protector like ian is just what liz and charlie need  p  [4] of cover ,romance
"ruthless boss, royal mistress",princess lissa karedes renowned posh party girl has been packed off to australia to learn the meaning of hard work but billionaire james black her wickedly sexy boss has different ideas  he won't be treating her any differently just because she's royal  but he is tempted to break his golden rule and bed his assistant lissa is dreadful at business and when she nearly costs him his reputation he issues her an ultimatum: she's banned from the boardroom but welcome to take a promotion     to his bedroom  p  [4] of cover ,romance
the defender's duty,danger has followed police officer jude sinclair from new york city to virginia where he is impatiently recuperating and it threatens everyone around him including sweet optimistic health aide lacey carmichael   includes discussion questions ,romance
secret seduction,a forgotten affair nina dowling knew she'd lost her memory  because when she met ryan flint he clearly recognized her but nina had no idea who he was  had they once been lovers ryan was obviously hiding something  he seemed angry with nina yet intent on seducing her  the tense sexual attraction between them demanded release but when passion finally exploded between them what secrets would be revealed ,romance
midnight awakening,prowling the streets of boston in search of the vampires who had destroyed her life elise chase a darkhaven beauty possessing a psychic gift turns for help to tegan the deadliest of the breed warriors who could hold the key to teaching her how to harness her talents ,romance
the marriage campaign,hero's returnrobert symington has recently inherited the title marquess of elston but a codicil to his father's will requires that he marry within a year or face unknown consequences  worse still robert must choose from among twenty ladies the deceased man deemed appropriate one of whom the dashing bachelor knew when she was a girl of six and he a lad of thirteen miss karla lane has changed greatly since last she met robert  and so have her circumstances  once the apple of her late father's eye she is now held captive to her stepmother's whims including the command to stay abovestairs when the marquess comes to visit  yet in her heart she hopes that the man who has always been the hero of her dreams will find a way to claim her for his own ,romance
guardian,former templar knight nicholas de beaufort reluctantly returns to his former human body to protect mary anderson who must find two magic emeralds that have the potential to restore harmony to earth ,romance
bounty hunter guardian,everyone believes amanda stowe killed her husband except for a mysterious woman who promises her evidence will clear amanda's name  amanda has to meet her     even if it means jumping bail and praying she'll reach alaska before law enforcement closes in  if chance walker has learned anything as a bounty hunter it's that only the guilty run  when he captures amanda he's ready to bring her to justice  but attacks against amanda make chance reconsider  what if his target really is innocent will chance put his life on the line to find the truth and keep amanda safe  publisher ,romance
the greek's christmas baby,the most special christmas gift of all   after a head on collision with another vehicle eden kouros is overjoyed that her unborn baby has survived  but aristide her husband has suffered a partial loss of memory eden's heart is torn in two  aristide remembers almost everything  except that he has a wife  yet perhaps eden has been given a second chance to save her marriage which was at breaking point before the accident: aristide's body hasn't forgotten the desire they once shared   and she's still carrying their their precious tiny child    ,romance
kiss of crimson,coming to the aid of a wounded stranger veterinarian tess culver is unaware that the mysterious dante is actually one of the breed vampire warriors engaged in a desperate battle against bands of rogue vampires or that by helping him she has become enmeshed in his dangerous underworld realm ,romance
it,to the children the town was their whole world  to the adults knowing better derry maine was just their home town: familiar well ordered for the most part  a good place to live     the adults knowing better knew nothing  time passed and the children grew up moved away  front flap,horror
skeleton crew,back cover,horror
the regulators,it's a summer afternoon in wentworth ohio and on poplar street everything's normal  the paper boy is making his rounds the carver kids are bickering at the corner convenience store a frisbee is flying on the reeds' lawn gary soderson is firing up the backyard barbecue  the only thing that doesn't quite fit is the red van idling just up the hill  soon it will begin to roll and the killing will begin  a quiet slice of american suburbia is about to turn to toast the mayhem rages around a seemingly still point a darkened house lit fitfully from within by a flickering television screen  inside where things haven't been normal for a long time are audrey wyler and the autistic nephew she cares for eight year old seth garin  they're fighting their own battle and its intensity has turned 247 poplar street into a prisonhouse  by what power they have come how far they will go and how they can be stopped these are the desperate questions  the answers are absolutely terrifying (from the flap),horror
death note.,light working as kira and l in the npa intelligence bureau has nearly succeeded in creating his ideal world but the years of victory have made him complacent and unprepared for a new attack ,horror
