title,description,genre
Second Grave on the Left,"Charley Davidson, Grim Reaper Extraordinaire, is back in this sexy, suspenseful novel of supernatural shenanigans When Charley is rudely awakened in the middle of the night by her best friend who tells her to get dressed quickly and tosses clothes out of the closet at her, she cant help but wonder what Cookies up to  Leather scrunch boots with a floral miniskirt? Together? Seriously? Cookie explains that a friend of hers named Mimi disappeared five days earlier and that she just got a text from her setting up a meet at a coffee shop downtown  They show up at the coffee shop, but no Mimi  But Charley finds a message on the bathroom wall  Mimi left a clue, a womans name  Mimis husband explains that his wife had been acting strange since she found out an old friend of hers from high school had been found murdered a couple weeks prior  The same woman Mimi had named in her message  Meanwhile, Reyes Alexander Farrow (otherwise known as the Son of Satan  Yes  Literally) has left his corporeal body and is haunting Charley  Hes left his body because hes being tortured by demons who want to lure Charley closer  But Reyes cant let that happen  Because if the demons get to Charley, theyll have a portal to heaven  And if they have a portal to heavenwell, lets just say it wouldnt be pretty  Can Charley handle hot nights with Reyes and even hotter days tracking down a missing woman? Will Cookie ever get a true fashion sense? And is there enough coffee and chocolate in the world to fuel them as they do?",fantasy
Tomb of the Golden Bird,"Convinced that the tomb of the little-known king Tutankhamon lies somewhere in the Valley of the Kings, eminent Egyptologist Radcliffe Emerson and his intrepid wife, Amelia Peabody, seem to have hit a wall  Having been banned forever from the East Valley, Emerson, against Amelia's advice, has tried desperately to persuade Lord Carnarvon and Howard Carter to relinquish their digging rights  But Emerson's trickery has backfired, and his insistent interest in the site has made his rivals all the more determined to keep the Emerson clan away Powerless to intervene but determined to stay close to the unattainable tomb, the family returns to Luxor and prepares to continue their dig in the less promising West Valleyand to watch from the sidelines as Carter and Carnarvon ""discover"" the greatest Egyptian treasure of all time: King Tut's tomb  But before their own excavation can get underway, Emerson and his son, Ramses, find themselves lured into a trap by a strange group of villains ominously demanding ""Where is he?"" Driven by distressand, of course, Amelia's insatiable curiositythe Emersons embark on a quest to uncover who ""he"" is and why ""he"" must be found, only to discover that the answer is uncomfortably close to home  Now Amelia must find a way to protect her familyand perhaps even her would-be nemesisfrom the sinister forces that will stop at nothing to succeed in the nefarious plot that threatens the peace of the entire region ",mystery
A Room Full of Bones,"Combine a splash of Alan Bradley with a pinch of Kathy Reichs and you have a gripping new Ruth Galloway Mystery -- a good-hearted mystery series with a dark edge  On Halloween night, the Smith Museum in King's Lynn is preparing for an unusual event -- the opening of a coffin containing the bones of a medieval bishop  But when forensic archaelogist Ruth Galloway arrives to supervise, she finds the curator, Neil Topham, dead beside the coffin  Topham's death seems to be related to other uncanny incidents, including the arcane and suspect methods of a group called the Elginists, which aims to repatriate the museum's extensive collection of Aborigine skulls; the untimely demise of the museum's owner, Lord Smith; and the sudden illness of DCI Harry Nelson, who Ruth's friend Cathbad believes is lost in The Dreaming -- a hallucinogenic state central to some Indigenous Australian beliefs  Tensions build as Nelson's life hangs in the balance  Something must be done to set matters right and lift Nelson out of the clutches of death, but will Ruth be able to muster herself out of a state of guilt and foreboding in order to do what she does best?",mystery
The September Society,"The sitting room looked as familiar as the back of his hand, and immediately Lenox took a liking to the young man who inhabited it       In the small hours of the morning one fall day in 1866, a frantic widow visits detective Charles Lenox  Lady Annabelles problem is simple: her beloved son, George, has vanished from his room at Oxford Then, just as Lenox realizes that the case may be deeper than it appears, a student dies, the victim of foul play ",mystery
Devices and Desires,"When Commander Adam Dalgliesh visits Larksoken, a remote headland community on the Norfolk coast in the shadow of a nuclear power station, he expects to be engaged only in the sad business of tying up his aunt's estate  But the peace of Larksoken is illusory  A serial killer known as the Whistler is terrorising the neighbourhood and Dalgliesh is drawn into the lives of the headlanders when it quickly becomes apparent that the Whistler isn't the only murderer at work under the sinister shadow of the power station ",mystery
Cross," The killer was never found, and the case turned cold, filed among the unsolved drive-bys in D C 's rough neighborhoods  Now a free agent from the police and the FBI, he's set up practice as a psychologist once again  His life with Nana Mama, Damon, Jannie, and little Alex is finally getting in order  He even has a chance at a new love  (less)",mystery
Remember Me,"Unable to forgive herself for the death of her two-year-old son Bobby in a car accident, Menley Nichols' marriage to Adam starts to fall apart - until the birth of their daughter Hannah  Determined to rebuild a life together around their precious baby, Menley and Adam decide to rent a house on Cape Cod for a month, confidant that the tranquility of the place will be ideal for Menley and little Hannah  But the peace they crave is disturbed when strange things start to happen - incidents which make Menley relive the horror of the accident in which she lost Bobby    incidents which make her fear for Hannah  And step by step, Menley and Adam are drawn into a dark and sinister web of events which threatens their marriage, their child and ultimately Menley's sanity ",mystery
Nine Coaches Waiting,"A governess in a French chateau encounters an apparent plot against her young charge's life in this unforgettably haunting and beautifully written suspense novel  When lovely Linda Martin first arrives at Chteau Valmy as an English governess to the nine-year-old Count Philippe de Valmy, the opulence and history surrounding her seems like a wondrous, ecstatic dream  But a palpable terror is crouching in the shadows  Philippe's uncle, Lon de Valmy, is the epitome of charm, yet dynamic and arrogant, his paralysis little hindrance as he moves noiselessly in his wheelchair from room to room  Only his son Raoul, a handsome, sardonic man who drives himself and his car with equally reckless abandon, seems able to stand up to him  To Linda, Raoul is an enigma, though irresistibly attracted to him, she senses some dark twist in his nature  When an accident deep in the woods nearly kills Linda's innocent charge, she begins to wonder if someone has deadly plans for the young count ",mystery
The Cat Who Moved a Mountain,"Qwills on top of the world when he rents a house on Big Potato Mountain  The owner, J J  Hawkinfield, brought real estate development to the once-peaceful Potatoes  But Hawkinfield paid a steep price for his enterprise: He was pushed off a cliff by an angry mountain dweller  Qwilleran, however, suspects the man is innocentand Kokos antics have him convinced somethings wrong  He may be making a mountain out of a molehill   but hes determined to find the truth  Even if it means jumping out of the frying pan and into the fire!",mystery
The Lady in the Lake,"A couple of missing wivesone a rich man's and one a poor man'sbecome the objects of Marlowe's investigation  One of them may have gotten a Mexican divorce and married a gigolo and the other may be dead  Marlowe's not sure he cares about either one, but he's not paid to care ",mystery
In Pursuit of the Proper Sinner,"A theatrical producer shoots himself on the night of his greatest triumph  A young woman camping on the Derbyshire moors is bludgeoned to death  A motorcyclist is found stabbed to death in the center of an ancient henge  Is there a connection? Detective Inspector Thomas Lynley is on the case, but recently demoted Constable Barbara Havers isn't about to let him go it alone ",mystery
Wish You Were Here,"an alternate cover edition can be found hereCuriosity just might be the death of Mrs  Murphy--and her human companion, Mary Minor ""Harry"" Haristeen  Small towns are like families: Everyone lives very close together     and everyone keeps secrets  Crozet, Virginia, is a typical small town-until its secrets explode into murder  Crozet's thirty-something postmistress, Mary Minor ""Harry"" Haristeen, has a tiger cat (Mrs  Murphy) and a Welsh Corgi (Tucker), a pending divorce, and a bad habit of reading postcards not addressed to her  Intent on protecting their human friend, Mrs  Murphy and Tucker begin to scent out clues  Meanwhile, Harry is conducting her own investigation, unaware her pets are one step ahead of her  If only Mrs  Murphy could alert her somehow, Harry could uncover the culprit before the murder occurs--and before Harry finds herself on the killer's mailing list ",mystery
Cut & Run,"A series of murders in New York City has stymied the police and FBI alike, and they suspect the culprit is a single killer sending an indecipherable message  But when the two federal agents assigned to the investigation are taken out, the FBI takes a more personal interest in the case Special Agent Ty Grady is pulled out of undercover work after his case blows up in his face  He's cocky, abrasive, and indisputably the best at what he does  But when he's paired with Special Agent Zane Garrett, it's hate at first sight  Garrett is the perfect image of an agent: serious, sober, and focused, which makes their partnership a classic cliche: total opposites, good cop-bad cop, the odd couple  They both know immediately that their partnership will pose more of an obstacle than the lack of evidence left by the murderer Practically before their special assignment starts, the murderer strikes again this time at them  Now on the run, trying to track down a man who has focused on killing his pursuers, Grady and Garrett will have to figure out how to work together before they become two more notches in the murderer's knife ",romance
I Am Princess X,"Best friends, big fans, a mysterious webcomic, and a long-lost girl collide in this riveting novel, perfect for fans of both Cory Doctorow and Sarah Dessen; illustrated throughout with comics Once upon a time, two best friends created a princess together  Libby drew the pictures, May wrote the tales, and their heroine, Princess X, slayed all the dragons and scaled all the mountains their imaginations could conjure  Once upon a few years later, Libby was in the car with her mom, driving across the Ballard Bridge on a rainy night  When the car went over the side, Libby passed away, and Princess X died with her  Once upon a now: May is sixteen and lonely, wandering the streets of Seattle, when she sees a sticker slapped in a corner window  Princess X? When May looks around, she sees the Princess everywhere: Stickers  Patches  Graffiti  There's an entire underground culture, focused around a webcomic at IAmPrincessX com  The more May explores the webcomic, the more she sees disturbing similarities between Libby's story and Princess X online  And that means that only one person could have started this phenomenon---her best friend, Libby, who lives ",mystery
The Dinner,"An internationally bestselling phenomenon: the darkly suspenseful, highly controversial tale of two families struggling to make the hardest decision of their lives - all over the course of one meal  It's a summer's evening in Amsterdam, and two couples meet at a fashionable restaurant for dinner  Between mouthfuls of food and over the polite scrapings of cutlery, the conversation remains a gentle hum of polite discourse - the banality of work, the triviality of the holidays  But behind the empty words, terrible things need to be said, and with every forced smile and every new course, the knives are being sharpened  Each couple has a fifteen-year-old son  The two boys are united by their accountability for a single horrific act; an act that has triggered a police investigation and shattered the comfortable, insulated worlds of their families  As civility and friendship disintegrate, each couple show just how far they are prepared to go to protect those they love  Skewering everything from parenting values to pretentious menus to political convictions, this novel reveals the dark side of genteel society and asks what each of us would do in the face of unimaginable tragedy ",mystery
My Lovely Wife,"A couple's fifteen-year marriage has finally gotten too interesting   Our love story is simple  I met a gorgeous woman  We fell in love  We had kids  We moved to the suburbs  We told each other our biggest dreams, and our darkest secrets  And then we got bored We look like a normal couple  We're your neighbors, the parents of your kid's friend, the acquaintances you keep meaning to get dinner with We all have secrets to keeping a marriage alive Ours just happens to be getting away with murder",mystery
Without Fail,"Skilled, cautious, and anonymous, Jack Reacher is perfect for the job: to assassinate the vice president of the United States  Theoretically, of course  A female Secret Service agent wants Reacher to find the holes in her system, and fast - because a covert group already has the vice president in their sights  They've planned well  There's just one thing they didn't plan on: Reacher ",mystery
Dust and Shadow: An Account of the Ripper Killings by Dr. John H. Watson,"In Dust and Shadow, Sherlock Holmes hunts down Jack the Ripper with impeccably accurate historical detail, rooting the Whitechapel investigation in the fledgling days of tabloid journalism and clinical psychology  This astonishing debut explores the terrifying prospect of hunting down one of the world's first serial killers without the advantage of modern forensics or profiling  Sherlock's desire to stop the killer who is terrifying the East End of London is unwavering from the start, and in an effort to do so he hires an ""unfortuate"" known as Mary Ann Monk, the friend of a fellow streetwalker who was one of the Ripper's earliest victims  However, when Holmes himself is wounded in Whitechapel attempting to catch the villain, and a series of articles in the popular press question his role in the crimes, he must use all his resources in a desperate race to find the man known as ""The Knife"" before it is too late  Penned as a pastiche by the loyal and courageous Dr  Watson, Dust and Shadow recalls the ideals evinced by Sir Arthur Conan Doyle's most beloved and world-renowned characters, while testing the limits of their strength in a fight to protect the women of London, Scotland Yard, and the peace of the city itself ",mystery
Believing the Lie,"Inspector Thomas Lynley is mystified when he's sent undercover to investigate the death of Ian Cresswell at the request of the man's uncle, the wealthy and influential Bernard Fairclough  The death has been ruled an accidental drowning, and nothing on the surface indicates otherwise  But when Lynley enlists the help of his friends Simon and Deborah St  James, the trio's digging soon reveals that the Fairclough clan is awash in secrets, lies, and motives Deborah's investigation of the prime suspect-Bernard's prodigal son Nicholas, a recovering drug addict-leads her to Nicholas's wife, a woman with whom she feels a kinship, a woman as fiercely protective as she is beautiful  Lynley and Simon delve for information from the rest of the family, including the victim's bitter ex-wife and the man he left her for, and Bernard himself  As the investigation escalates, the Fairclough family's veneer cracks, with deception and self-delusion threatening to destroy everyone from the Fairclough patriarch to Tim, the troubled son Ian left behind ",mystery
Children of the Storm,"The fifteenth adventure for Amelia, Emerson and the whole Peabody-Emerson clan! At last the Great War is over  Amelia, her distinguished Egyptologist husband Emerson and their extended family are preparing for another season of excavation in Egypt  To everyone's great joy their son Ramses and his wife Nefret have become parents  Amelia, enjoying her role of fond (yet firm) grandmother, hopes that for once, this will be a quiet year with Ramses no longer undertaking perilous missions for British intelligence and no old enemies on their trail  Amelia is sadly mistaken  Past dangers cast shadows across the seemingly peaceful present, and a new adversary - unlike any Amelia has ever encountered - will chart a course that puts her beloved family directly in the path of destruction ",mystery
Altered Carbon,"Four hundred years from now mankind is strung out across a region of interstellar space inherited from an ancient civilization discovered on Mars  The colonies are linked together by the occasional sublight colony ship voyages and hyperspatial data-casting  Human consciousness is digitally freighted between the stars and downloaded into bodies as a matter of course But some things never change  So when ex-envoy, now-convict Takeshi Kovacs has his consciousness and skills downloaded into the body of a nicotine-addicted ex-thug and presented with a catch-22 offer, he really shouldn't be surprised  Contracted by a billionaire to discover who murdered his last body, Kovacs is drawn into a terrifying conspiracy that stretches across known space and to the very top of society ",sci-fi
Death of an Expert Witness,"Dr  Lorrimer appeared to be the picture of a bloodless, coldly efficient scientist  Only when his brutally slain body is discovered and his secret past dissected does the image begin to change  Once again, Chief Inspector Adam Dalgliesh learns that there is more to human beings than meets the eye -- and more to solving a murder than the obvious clues ",mystery
The Strange Case of the Alchemist's Daughter,"Mary Jekyll, alone and penniless following her parents death, is curious about the secrets of her fathers mysterious past  One clue in particular hints that Edward Hyde, her fathers former friend and a murderer, may be nearby, and there is a reward for information leading to his capturea reward that would solve all of her immediate financial woes But her hunt leads her to Hydes daughter, Diana, a feral child left to be raised by nuns  With the assistance of Sherlock Holmes and Dr  Watson, Mary continues her search for the elusive Hyde, and soon befriends more women, all of whom have been created through terrifying experimentation: Beatrice Rappaccini, Catherin Moreau, and Justine Frankenstein When their investigations lead them to the discovery of a secret society of immoral and power-crazed scientists, the horrors of their past return  Now it is up to the monsters to finally triumph over the monstrous ",fantasy
Passenger to Frankfurt,"A middle-aged diplomat is accosted in an airport lounge and his identity stolenSir Stafford Nyes journey home from Malaya to London takes an unexpected twist in the passenger lounge at Frankfurt  a young woman confides in him that someone is trying to kill her Yet their paths are to cross again and again  and each time the mystery woman is introduced as a different person  Equally at home in any guise in any society she draws Sir Stafford into a game of political intrigue more dangerous than he could possibly imagine In an arena where no-one can be sure of anyone, Nye must do battle with a well-armed, well-financed, well-trained  and invisible  enemy",mystery
Look Alive Twenty-Five,"There's nothing like a good deli and the Red River Deli in Trenton is one of the best  World famous for its pastrami, cole slaw and for its disappearing managers  Over the last month, three have vanished from the face of the earth, the only clue in each case is one shoe that's been left behind  The police are baffled  Lula is convinced that it's a case of alien abduction  Whatever it is, they'd better figure out what's going on before they lose their new manager, Ms  Stephanie Plum ",mystery
The Leopard,"In the depths of winter, a killer stalks the city streets  His victims are two young women, both found with twenty-four inexplicable puncture wounds, both drowned in their own blood  The crime scenes offer no clues, the media is reaching fever pitch, and the police are running out of options  There is only one man who can help them, and he doesn't want to be found  Deeply traumatised by The Snowman investigation, which threatened the lives of those he holds most dear, Inspector Harry Hole has lost himself in the squalor of Hong Kong's opium dens  But with his father seriously ill in hospital, Harry reluctantly agrees to return to Oslo  He has no intention of working on the case, but his instinct takes over when a third victim is found brutally murdered in a city park The victims appear completely unconnected to one another, but it's not long before Harry makes a discovery: the women all spent the night in an isolated mountain hostel  And someone is picking off the guests one by one ",mystery
Bonfire,"Should you ever go back?It has been ten years since Abby Williams left home and scrubbed away all visible evidence of her small town roots  Now working as an environmental lawyer in Chicago, she has a thriving career, a modern apartment, and her pick of meaningless one-night stands But when a new case takes her back home to Barrens, Indiana, the life Abby painstakingly created begins to crack  Tasked with investigating Optimal Plastics, the town's most high-profile company and economic heart, Abby begins to find strange connections to Barrens biggest scandal from more than a decade ago involving the popular Kaycee Mitchell and her closest friendsjust before Kaycee disappeared for good Abby knows the key to solving any case lies in the weak spots, the unanswered questions  But as Abby tries to find out what really happened to Kaycee, she unearths an even more disturbing secreta ritual called The Game, which will threaten the reputations, and lives, of the community and risk exposing a darkness that may consume her",mystery
Big Boned,"Life is reasonably rosy for plus-size ex-pop star turned Assistant Dormitory Director and sometime sleuth Heather Wells  Her freeloading ex-con dad is finally moving out  She still yearns for her hot landlord, Cooper Cartwright, but her relationship with ""rebound beau,"" vigorous vegan math professor Tad Tocco, is more than satisfactory  Best of all, nobody has died lately in ""Death Dorm,"" the aptly nicknamed student residence that Heather assistant-directs  Of course every silver lining ultimately has some black cloud attached  And when the latest murdered corpse to clutter up her jurisdiction turns out to be her exceedingly unlovable boss, Heather finds herself on the shortlist of prime suspectsalong with the rabble-rousing boyfriend of her high-strung student assistant and an indecently handsome young campus minister who's been accused of taking liberties with certain girls' choir members With fame beckoning her back into show business (as the star of a new kids' show!) it's a really bad time to get wrapped up in another homicide  Plus Tad's been working himself up to ask her a Big Question, which Heather's not sure she has an answer for      ",mystery
Carrot Cake Murder,"Summertime has finally arrived in Lake Eden, Minnesota, and Hannah Swensen, owner of The Cookie Jar bakery, is looking forward to warm, lazy days, eating ice cream, and sharing picnics with friends  But when a family reunion takes a deadly turn, it's up to Hannah to find a killer   Between baking up a storm for The Cookie Jar and unravelling the mystery of her cat Moishe's recent strange behaviour, Hannah Swensen has a lot on her plate  But she'll always make time for her business partner, Lisa, who's in the midst of preparing for a big family reunion  Everyone is delighted when Lisa's long-lost uncle makes a surprise appearance  No one has heard from Gus in twenty-five years - and his arrival has everyone buzzing with excitement Uncle Gus is immediately the hit of the reunion, telling tales of his great success and flashing money for all to see  He's almost as popular as Hannah's scrumptious carrot cake, which is also Gus' favourite dessert  But the next morning, as the whole family gathers for the group photo, one person is missing  Hannah offers to track down Uncle Gus, but her search leads to a shocking find  Over by the bar at the pavilion, she spots two slices of her infamous carrot cake, frosting-side down on the floor - and Gus' corpse with an ice pick jutting out of his chest!A little snooping reveals that not everyone was celebrating Gus' return  And when Hannah unearths more secrets from Gus' past, she discovers even more people with an axe to grind  Now Hannah's got to sift through a long list of suspects to find a killer - even if it could mean a recipe for her own demise   ",mystery
Deadlocked,"Growing up with telepathic abilities, Sookie Stackhouse realized early on that there are things she'd rather not know  An now that she's an adult, she also realizes that some things she knows about, she'd rather not see--like Eric Northman feeding off another woman  A younger one There's a thing or two she'd like to say about that, but she has to keep quiet--Felipe de Castro, the vampire king of Louisiana (and Arkansas and Nevada), is in town  It's the worst possible time for a human body to show up in Eric's front yard--especially the body of the woman whose blood he just drank Now it's up to Sookie and Bill, the official Area Five investigator, to solve the murder  Sookie thinks that, at least this time, the dead girl's fate has nothing to do with her  But she is wrong  She has an enemy, one far more devious than she would ever suspect, who's set out to make Sookie's world come crashing down ",fantasy
The Big Bad Wolf,"Alex Cross battles the most ruthless and powerful killer he has ever encountered - a predator known only as ""the Wolf  ""Alex Cross's first case since joining the FBI has his new colleagues stymied  Across the country, men and women are being kidnapped in broad daylight and then disappearing completely  These people are not being taken for ransom, Alex realizes  They are being bought and sold  And it looks as if a shadowy figure called the Wolf - a master criminal who has brought a new reign of terror to organize crime - is behind this business in which ordinary men and women are sold as slaves  Even as he admires the FBI's vast resources, Alex grows impatient with the Bureau's clumsiness and caution when it is time to move  A lone wolf himself, he has to go out on his own in order to track the Wolf and try to rescue some of the victims while they are still alive  As the case boils over, Alex is in hot water at home too  His ex-fiancee, Christine Johnson, comes back into his life - and not for the reasons Alex might have hoped ",mystery
The Cat Who Talked to Ghosts,"When Mrs  Cobb heard unearthly noises in the antique-filled farmhouse, she called Jim Qwilleran for help  But he was too late  It looked as if his kindly ex-housekeeper had been frightened to deathbut by whom? Or what? Now Qwillerans moved into the historic farmhouse with his two cat companionsand Koko the Siamese is spooked  Is it a figment of feline imaginationor the clue to a murder in Moose County? And does Qwilleran have a ghost of a chance of solving this haunting mystery?",mystery
Let Me Call You Sweetheart,"Kerry McGrath is a dedicated prosecutor and a devoted mother  When her daughter's face is cut in a car accident, Kerry is relieved that the plastic surgeon who treats her is the eminent Dr  Charles Smith  Then Kerry notices something bizarre  Two of Smith's patients bear an uncanny resemblance to Suzanne Reardon, a young woman killed eleven years earlier  Why would Dr  Smith create look-alikes of a murder victim? A chilling tale of obsession by America's reigning queen of suspense ",mystery
Brotherhood in Death,"Dennis Mira just had two unpleasant surprises  First he learned that his cousin Edward was secretly meeting with a real estate agent about their late grandfathers magnificent West Village brownstone, despite the promise they both made to keep it in the family  Then, when he went to the house to confront Edward about it, he got a blunt object to the back of the head Luckily Dennis is married to Charlotte Mira, the NYPSDs top profiler and a good friend of Lieutenant Eve Dallas  When the two arrive on the scene, he explains that the last thing he saw was Edward in a chair, bruised and bloody  When he came to, his cousin was gone  With the mess cleaned up and the security disks removed, theres nothing left behind but a few traces for forensics to analyze  As a former lawyer, judge, and senator, Edward Mira mingled with the elite and crossed paths with criminals, making enemies on a regular basis  Like so many politicians, he also made some very close friends behind closedand lockeddoors  But a badge and a billionaire husband can get you into places others cant go, and Eve intends to shine some light on the dirty deals and dark motives behind the disappearance of a powerful man, the family discord over a multimillion-dollar piece of real estate       and a new case that no one saw coming ",mystery
The Murder of Mary Russell,"Mary Russell is used to dark secretsher own, and those of her famous partner and husband, Sherlock Holmes  Trust is a thing slowly given, but over the course of a decade together, the two have forged an indissoluble bond  And what of the other person to whom Mary Russell has opened her heart: the couples longtime housekeeper, Mrs  Hudson? Russells faith and affection are suddenly shattered when a man arrives on the doorstep claiming to be Mrs  Hudsons son  What Samuel Hudson tells Russell cannot possibly be true, yet she believes himas surely as she believes the threat of the gun in his hand  In a devastating instant, everything changes  And when the scene is discovereda pool of blood on the floor, the smell of gunpowder in the airthe most shocking revelation of all is that the grim clues point directly to Clara Hudson  Or rather to Clarissa, the woman she was before Baker Street  The key to Russells sacrifice lies in Mrs  Hudsons past  To uncover the truth, a frantic Sherlock Holmes must put aside his anguish and push deep into his housekeepers secretsto a time before her disguise was assumed, before her crimes were buried away  There is death here, and murder, and trust betrayed  And nothing will ever be the same ",mystery
The Silent Girl,"Every crime scene tells a story  Some keep you awake at night  Others haunt your dreams  The grisly display homicide cop Jane Rizzoli finds in Bostons Chinatown will do both In the murky shadows of an alley lies a females severed hand  On the tenement rooftop above is the corpse belonging to that hand, a red-haired woman dressed all in black, her head nearly severed  Two strands of silver hairnot humancling to her body  They are Rizzolis only clues, but theyre enough for her and medical examiner Maura Isles to make the startling discovery: that this violent death had a chilling prequel Nineteen years earlier, a horrifying murder-suicide in a Chinatown restaurant left five people dead  But one woman connected to that massacre is still alive: a mysterious martial arts master who knows a secret she dares not tell, a secret that lives and breathes in the shadows of Chinatown  A secret that may not even be human  Now shes the target of someone, or something, deeply and relentlessly evil Cracking a crime resonating with bone-chilling echoes of an ancient Chinese legend, Rizzoli and Isles must outwit an unseen enemy with centuries of cunningand a swift, avenging blade ",mystery
A Quiet Life in the Country,"Lady Emily Hardcastle is an eccentric widow with a secret past  Florence Armstrong, her maid and confidante, is an expert in martial arts  The year is 1908 and theyve just moved from London to the country, hoping for a quiet life But it is not long before Lady Hardcastle is forced out of her self-imposed retirement  Theres a dead body in the woods, and the police are on the wrong scent  Lady Hardcastle makes some enquiries of her own, and it seems she knows a surprising amount about crime investigationAs Lady Hardcastle and Flo delve deeper into rural rivalries and resentment, they uncover a web of intrigue that extends far beyond the village ",mystery
The Crime at Black Dudley,"A house party is under way at the remote mansion of Black Dudley, and among the guests are some very shady characters  As they playfully recreate the ritual of the Black Dudley Dagger, someone dies  Pathologist George Abbershaw suspects foul play, and when a vital item is mislaid, a gang of crooks hold the guests hostage  Will they escape the house  what did happen to the Colonel  and just who is the mysterious Mr Campion? Neither the story nor Albert Campion is quite as vapid and slow as you might expect    apa in US as THE BLACK DUDLEY MURDER, 1929",mystery
Fractured," Gnmzn en cesur polisiye yazarlarndan biri  - Tess GerritsenAmerikann en iyi polisiye yazarlarndan biri  - The Washington PostAtlantann varlkl bir semtinde, gzel bir evde gen bir kz hunharca katledilmi ve baka bir kz da karlmtr  Gen kzn annesi, cesedin banda bulduu yabancy kendi elleriyle ldrr, ancak ldrd kii gerekten kznn katili midir? Ya da ldrlen, kendi kz mdr?Olay inceleyen iki dedektif Will Trent ve Faith Mitchelln zamana kar yar balar  Hem cinayeti aydnlatmak hem de karlan gen kza, henz hayattayken ulamak zorundadrlar  Parampara, ngiltere ve Hollandada ok satanlar listesine bir numaradan girdi ve haftalarca kald ",mystery
"Mary, Mary","FBI Agent Alex Cross is on vacation with his family in Disneyland when he gets a call from the Director  A well-known actress was shot outside her home in Beverly Hills  Shortly afterward, an editor for the Los Angeles Times receives an e-mail describing the murder in vivid details  Alex quickly learns that this is not an isolated incident  The killer, known as Mary Smith, has done this before and plans to kill again Right from the beginning, this case is like nothing Alex has ever been confronted with before  Is this the plan of an obsessed fan or a spurned actor, or is it part of something much more frightening? Now members of Hollywood's A-list fear they're next on Mary's list, and the case grows by blockbuster proportions as the LAPD and FBI scramble to find a pattern before Mary can send one more chilling update ",mystery
The Invisible Library,"Irene must be at the top of her game or she'll be off the case - permanently   Irene is a professional spy for the mysterious Library, which harvests fiction from different realities  And along with her enigmatic assistant Kai, she's posted to an alternative London  Their mission - to retrieve a dangerous book  But when they arrive, it's already been stolen  London's underground factions seem prepared to fight to the very death to find her book Adding to the jeopardy, this world is chaos-infested - the laws of nature bent to allow supernatural creatures and unpredictable magic  Irene's new assistant is also hiding secrets of his own Soon, she's up to her eyebrows in a heady mix of danger, clues and secret societies  Yet failure is not an option - the nature of reality itself is at stake ",fantasy
The Absent One," The result wasnt what Mrckor readersexpected, but by the opening of Adler-Olsens shocking, fast-paced follow-up, Mrck is satisfied with the notion of picking up long-cold leads  So hes naturally intrigued when a closed case lands on his desk: A brother and sister were brutally murdered two decades earlier, and one of the suspectspart of a group of privileged boarding-school studentsconfessed and was convicted  But once Mrck reopens the files, it becomes clear that all is not what it seems  Looking into the supposedly solved case leads him to Kimmie, a woman living on the streets, stealing to survive  Kimmie has mastered evading the police, but now they arent the only ones looking for her  Because Kimmie has secrets that certain influential individuals would kill to keep buried       as well as one of her own that could turn everything on its head ",mystery
Hold Tight,"Tia and Mike Baye never imagined they'd become the type of overprotective parents who spy on their kids  But their sixteen-year-old son Adam has been unusually distant lately, and after the suicide of his classmate Spencer Hill - the latest in a string of issues at school - they can't help but worry  They install a sophisticated spy program on Adam's computer, and within days they are jolted by a message from an unknown correspondent addressed to their son - 'Just stay quiet and all safe ' Meanwhile, browsing through an online memorial for Spencer put together by his classmates, Betsy Hill is struck by a photo that appears to have been taken on the night of her son's death and he wasn't alone  She thinks it is Adam Baye standing just outside the camera's range; but when Adam goes missing, it soon becomes clear that something deep and sinister has infected their community  For Tia and Mike Baye, the question they must answer is this: when it comes to your kids, is it possible to know too much?",mystery
The Rainmaker," In his final semester of law school Rudy Baylor is required to provide free legal advice to a group of senior citizens, and it is there that he meets his first ""clients,"" Dot and Buddy Black  Their son, Donny Ray, is dying of leukemia, and their insurance company has flatly refused to pay for his medical treatments  While Rudy is at first skeptical, he soon realizes that the Blacks really have been shockingly mistreated by the huge company, and that he just may have stumbled upon one of the largest insurance frauds anyone's ever seen -- and one of the most lucrative and important cases in the history of civil litigation  The problem is, Rudy's flat broke, has no job, hasn't even passed the bar, and is about to go head-to-head with one of the best defense attorneys -- and powerful industries -- in America ",mystery
The Cutting Season,"The American South in the twenty-first century  A plantation owned for generations by a rich family  So much history  And a dead body Just after dawn, Caren walks the grounds of Belle Vie, the historic plantation house in Louisiana that she has managed for four years  Today she sees nothing unusual, apart from some ground that has been dug up by the fence bordering the sugar cane fields  Assuming an animal has been out after dark, she asks the gardener to tidy it up  Not long afterwards, he calls her to say it's something else  Something terrible  A dead body  At a distance, she missed her  The girl, the dirt and the blood  Now she has police on site, an investigation in progress, and a member of staff no one can track down  And Caren keeps uncovering things she will wish she didn't know  As she's drawn into the dead girl's story, she makes shattering discoveries about the future of Belle Vie, the secrets of its past, and sees, more clearly than ever, that Belle Vie, its beauty, is not to be trusted ",mystery
