title,author,description,genre
The darkest minds,Alexandra Bracken,"""Sixteen-year-old Ruby breaks out of a government-run 'rehabilitation camp' for teens who acquired dangerous powers after surviving a virus that wiped out most American children""--",science_fiction
The guardians.,Sam Youd,"Escape

Rob - a fourteen-year-old boy living in the ""Greater London Conurb"" - is orphaned following the death of his father. There is considerable suspicion and secrecy surrounding his death. Rob is sent away to a State Boarding School where harsh disciplinary measures and ritual bullying by seniors soon make life intolerable; in his desperation, he devises a plan of escaping to the County, reasoning that he will avoid detection there much more easily than anywhere in the heavily-surveilled Conurbs. He is further driven by the fact that his mother was also from the County and had herself crossed over into the Conurbs to be with his father.

Slipping out and making his way to Reading, he comes up against the Barrier dividing that Conurb from the County adjacent. The Barrier, unmanned, proves be a much less of a challenge than popular rumour suggests, and, finding a spot at which he is able to dig a gap underneath that is large enough to pass through, Rob crosses over into the County. He takes in his expansive surroundings as he continues north-west but does not manage a long distance before he is noticed. A figure on horse spots him and gives chase, catching up quickly as Rob twists his foot running.

The rider turns out to be a boy perhaps a year or less older than Rob himself. He appears to be sympathetic to Rob's plight and, introducing himself as Mike Gifford, tends to the blisters on Rob's feet before taking him to a nearby cave where he can rest in concealment. Mike attempts to make the cave a little more hospitable for him by appropriating food, blankets and such from the Gifford household, but these discrepancies are eventually noticed by the housekeeper and reported to Mike's mother, whose suspicion is also aroused by Mike's staying out longer. She finds the cave and confronts Rob.

Uncertain about how to proceed, Mrs Gifford allows Rob to remain in the cave one more night. In spite of his impulse to immediately set out again and avoid the possibility of being turned in to the authorities, Rob stays put, partly because he wishes to see Mike again. The following morning, both Mike and Mrs Gifford visit the cave and speak to him; Mrs Gifford proposes that, as he will not willingly return to the Conurbs, and as Mike is determined to help him, the only plausible option is to fit Rob into the family. Amazingly, Mr Gifford has already been told the story and has given his approval. So, declaring him a relative raised in Nepal (accounting for his lack of County manners and behaviour) and playing out his supposed arrival from the nearest station, Rob is inducted into the Gifford family.

 A new life

Changing his surname from Randall to Perrott, Rob does his best to adapt to life in the Gifford house, getting to know Mr Gifford (a quiet, unassuming man whose greatest interest seems to lie in bonsai) and the servants, as well as Cecily, Mike's younger sister. She is not told Rob's story, as it is feared that she is too young to keep the secret safely. Rob is taught various skills such as horse-riding to help him blend in with County society. These are put to the test when the Giffords hold a garden party and he is engaged in searching conversation by Sir Percy Gregory (a figure of authority in the County) and an elderly man named Harcourt. Under the stress, Rob fears his answers are unconvincing; his worries are put to rest, however, when Harcourt dismisses Rob's mannerisms as typical of a ""Nepalese settler"".

Several months pass. Rob becomes increasingly confident and assured of his position, even going so far as to win third place in the archery contest of the year (having never done archery in the Conurbs), beating Mike who comes in eleventh. Rob joins Mike at school; though he notices Mike's attitude toward him has changed, the two still talk frankly, especially about differences between the Conurbs and the County. Mike brings Rob to a gathering held by a senior boy named Daniel Penfold, where a heated discussion on both the failings and the merits of the current social system ensues. While most of the boys present laugh it off, Rob notices Mike does not. Later, in the privacy of their room, Mike shares with Rob his knowledge of a gang of organised revolutionaries and hints that Rob should join, given his knowledge of the Conurbs. Rob refuses, both on principle and for fear of his secret being divulged.

Christmas arrives and Rob celebrates it in the way of the County gentry. Mrs Gifford speaks to him about his good progress at school, noting that Mike is not doing as well. As Mike and Rob are about to visit the Penfold family (to whom the aforesaid Daniel belongs), she also raises her suspicions about Mike’s dealings with them, especially with the older Penfold boy, Roger, whose Army record is not entirely clean. She asks Rob to watch over her son. The visit passes largely uneventfully for Rob, in spite of Roger Penfold's somewhat seditious talk during dinner. On the ride home, Mike and Rob again fall to arguing over the state of affairs; Mike declares that he probably would not have been interested in these issues if he had not run across Rob.

 The revolt

Another school term passes. One Friday, Mike pulls out of a planned fishing trip with Rob, saying that he must ride to Oxford to see about a horse. Several hours later, news arrives that a violent uprising has begun somewhere in that area, and that both Oxford and Bristol (government headquarters) have been taken by armed rebels. Rob returns in haste to the Giffords' where Mrs Gifford demands he tell her what he knows about Mike's involvement. He does, and she rebukes him angrily, reminding him of Mike's kindness to him when he was in need. Ashamed, Rob prepares to ride out to meet a band of vigilantes countering the insurrection, but Mrs Gifford softens and asks him to stay as all the men of the house have already ridden out.

No clear news arrives due to the telephone exchange being down, and rumours run rife. The next morning, Mr Gifford and his men return to the house; it emerges that the revolt had been put down without their aid. The younger Penfold is said to have been killed and there is no news of Mike, though his name is not on the incomplete list of dead and wounded. That night, Mike steals into the house and visits Rob, unbeknownst to the family. It is his last visit; he is fully aware of his status as a fugitive (as Rob once was) and realises that his involvement in the revolt means that he can no longer remain in the County. He declares his intention to cross the Barrier into the Conurbs, where the movement has ""friends"". Rob tries to dissuade him and threatens to raise the alarm but is restrained by the thought that Mike had not turned him in when he had been in a similar position. Mike gives Rob an address in the Conurb where he can be found, should he change his mind and decide to join him. They shake hands and he rides out.

The next day, a patrol stops at the Gifford house with orders to escort Rob for questioning. Rob's initial apprehensions about this are calmed when he is taken not to law enforcement but to Old Hall, Sir Percy Gregory's home. Over coffee and cherry cake, Rob comfortably recounts his old Nepal backstory again in response to Sir Percy's prompting questions. Sir Percy, however, shocks him when complimenting him by using his real surname. It becomes clear that Rob's true identity has been known to him for a long time now and that the authorities have tolerated his presence in the County. Using this as leverage, Sir Percy attempts to manipulate Rob into informing. Rob tells him everything except for Mike's late-night visit and the secret address; this seems to satisfy Sir Percy, though he had been hoping to find out more about the leaders of the movement and their present location. Disturbingly, Sir Percy tells Rob of what is to be done with Mike if he is found: a certain surgical procedure on the brain which renders the subject docile and obedient. He also tells Rob of the secret group of overseers responsible for the present system (the titular ""Guardians"") and, having appraised the intelligence and initiative Rob has shown in coming this far, offers to recruit him. Rob accepts.

 Epiphany

Rob returns home by evening. Mrs Gifford tells him that she is aware of Mike's visit the night previous - having again noted the absence of some household articles, such as food and clothing - and again rebukes Rob, with great sadness instead of anger this time, for not doing what she feels would have been the right thing. To justify himself, Rob explains about the operation that would have been performed on Mike had he turned him in. To Rob's horror, Mrs Gifford reveals that she knows of this, and further that Mr Gifford himself had been subject to it; hence his preoccupation with bonsai and little else.

This revelation causes an epiphany for Rob. He realises that Mike had inherited a spirit of freedom from his father, and though his father had been forced into submission, Mike had not grown up entirely blind to the oppression around him. It had simply taken contact with someone from the other side - Rob, a Conurban - to spark rebellion in him. Rob also realises that he had almost bought into the groupthink himself by assimilating into the gentry with such determination that he had forgotten his Conurban past, even taking up the offer to join the Guardians. He makes a decision: either he can remain in the place he has won in County society, now in perfect safety, or he can join the movement which has fled to the Conurbs and struggle alongside Mike in liberating the masses.

The story closes with Rob leaving the Giffords at night and returning to the Barrier, trowel in hand.",science_fiction
Flight in Yiktor,Andre Norton,"A psychic sorceress, a telepathic adventurer, and deformed ex-slave use their extrasensory powers to stop an intergalactic organization of thieves from looting the planets.",science_fiction
The monster garden,Vivien Alcock,"Using a tissue sample she believes is from one of her father's experiments in genetic engineering, Frankie accidentally creates a baby monster, which begins to grow at an alarming rate.",science_fiction
The knife of never letting go,Patrick Ness,"Pursued by power-hungry Prentiss and mad minister Aaron, young Todd and Viola set out across New World searching for answers about his colony's true past and seeking a way to warn the ship bringing hopeful settlers from Old World.",science_fiction
The guardians.,Sam Youd,"Escape

Rob - a fourteen-year-old boy living in the ""Greater London Conurb"" - is orphaned following the death of his father. There is considerable suspicion and secrecy surrounding his death. Rob is sent away to a State Boarding School where harsh disciplinary measures and ritual bullying by seniors soon make life intolerable; in his desperation, he devises a plan of escaping to the County, reasoning that he will avoid detection there much more easily than anywhere in the heavily-surveilled Conurbs. He is further driven by the fact that his mother was also from the County and had herself crossed over into the Conurbs to be with his father.

Slipping out and making his way to Reading, he comes up against the Barrier dividing that Conurb from the County adjacent. The Barrier, unmanned, proves be a much less of a challenge than popular rumour suggests, and, finding a spot at which he is able to dig a gap underneath that is large enough to pass through, Rob crosses over into the County. He takes in his expansive surroundings as he continues north-west but does not manage a long distance before he is noticed. A figure on horse spots him and gives chase, catching up quickly as Rob twists his foot running.

The rider turns out to be a boy perhaps a year or less older than Rob himself. He appears to be sympathetic to Rob's plight and, introducing himself as Mike Gifford, tends to the blisters on Rob's feet before taking him to a nearby cave where he can rest in concealment. Mike attempts to make the cave a little more hospitable for him by appropriating food, blankets and such from the Gifford household, but these discrepancies are eventually noticed by the housekeeper and reported to Mike's mother, whose suspicion is also aroused by Mike's staying out longer. She finds the cave and confronts Rob.

Uncertain about how to proceed, Mrs Gifford allows Rob to remain in the cave one more night. In spite of his impulse to immediately set out again and avoid the possibility of being turned in to the authorities, Rob stays put, partly because he wishes to see Mike again. The following morning, both Mike and Mrs Gifford visit the cave and speak to him; Mrs Gifford proposes that, as he will not willingly return to the Conurbs, and as Mike is determined to help him, the only plausible option is to fit Rob into the family. Amazingly, Mr Gifford has already been told the story and has given his approval. So, declaring him a relative raised in Nepal (accounting for his lack of County manners and behaviour) and playing out his supposed arrival from the nearest station, Rob is inducted into the Gifford family.

 A new life

Changing his surname from Randall to Perrott, Rob does his best to adapt to life in the Gifford house, getting to know Mr Gifford (a quiet, unassuming man whose greatest interest seems to lie in bonsai) and the servants, as well as Cecily, Mike's younger sister. She is not told Rob's story, as it is feared that she is too young to keep the secret safely. Rob is taught various skills such as horse-riding to help him blend in with County society. These are put to the test when the Giffords hold a garden party and he is engaged in searching conversation by Sir Percy Gregory (a figure of authority in the County) and an elderly man named Harcourt. Under the stress, Rob fears his answers are unconvincing; his worries are put to rest, however, when Harcourt dismisses Rob's mannerisms as typical of a ""Nepalese settler"".

Several months pass. Rob becomes increasingly confident and assured of his position, even going so far as to win third place in the archery contest of the year (having never done archery in the Conurbs), beating Mike who comes in eleventh. Rob joins Mike at school; though he notices Mike's attitude toward him has changed, the two still talk frankly, especially about differences between the Conurbs and the County. Mike brings Rob to a gathering held by a senior boy named Daniel Penfold, where a heated discussion on both the failings and the merits of the current social system ensues. While most of the boys present laugh it off, Rob notices Mike does not. Later, in the privacy of their room, Mike shares with Rob his knowledge of a gang of organised revolutionaries and hints that Rob should join, given his knowledge of the Conurbs. Rob refuses, both on principle and for fear of his secret being divulged.

Christmas arrives and Rob celebrates it in the way of the County gentry. Mrs Gifford speaks to him about his good progress at school, noting that Mike is not doing as well. As Mike and Rob are about to visit the Penfold family (to whom the aforesaid Daniel belongs), she also raises her suspicions about Mike’s dealings with them, especially with the older Penfold boy, Roger, whose Army record is not entirely clean. She asks Rob to watch over her son. The visit passes largely uneventfully for Rob, in spite of Roger Penfold's somewhat seditious talk during dinner. On the ride home, Mike and Rob again fall to arguing over the state of affairs; Mike declares that he probably would not have been interested in these issues if he had not run across Rob.

 The revolt

Another school term passes. One Friday, Mike pulls out of a planned fishing trip with Rob, saying that he must ride to Oxford to see about a horse. Several hours later, news arrives that a violent uprising has begun somewhere in that area, and that both Oxford and Bristol (government headquarters) have been taken by armed rebels. Rob returns in haste to the Giffords' where Mrs Gifford demands he tell her what he knows about Mike's involvement. He does, and she rebukes him angrily, reminding him of Mike's kindness to him when he was in need. Ashamed, Rob prepares to ride out to meet a band of vigilantes countering the insurrection, but Mrs Gifford softens and asks him to stay as all the men of the house have already ridden out.

No clear news arrives due to the telephone exchange being down, and rumours run rife. The next morning, Mr Gifford and his men return to the house; it emerges that the revolt had been put down without their aid. The younger Penfold is said to have been killed and there is no news of Mike, though his name is not on the incomplete list of dead and wounded. That night, Mike steals into the house and visits Rob, unbeknownst to the family. It is his last visit; he is fully aware of his status as a fugitive (as Rob once was) and realises that his involvement in the revolt means that he can no longer remain in the County. He declares his intention to cross the Barrier into the Conurbs, where the movement has ""friends"". Rob tries to dissuade him and threatens to raise the alarm but is restrained by the thought that Mike had not turned him in when he had been in a similar position. Mike gives Rob an address in the Conurb where he can be found, should he change his mind and decide to join him. They shake hands and he rides out.

The next day, a patrol stops at the Gifford house with orders to escort Rob for questioning. Rob's initial apprehensions about this are calmed when he is taken not to law enforcement but to Old Hall, Sir Percy Gregory's home. Over coffee and cherry cake, Rob comfortably recounts his old Nepal backstory again in response to Sir Percy's prompting questions. Sir Percy, however, shocks him when complimenting him by using his real surname. It becomes clear that Rob's true identity has been known to him for a long time now and that the authorities have tolerated his presence in the County. Using this as leverage, Sir Percy attempts to manipulate Rob into informing. Rob tells him everything except for Mike's late-night visit and the secret address; this seems to satisfy Sir Percy, though he had been hoping to find out more about the leaders of the movement and their present location. Disturbingly, Sir Percy tells Rob of what is to be done with Mike if he is found: a certain surgical procedure on the brain which renders the subject docile and obedient. He also tells Rob of the secret group of overseers responsible for the present system (the titular ""Guardians"") and, having appraised the intelligence and initiative Rob has shown in coming this far, offers to recruit him. Rob accepts.

 Epiphany

Rob returns home by evening. Mrs Gifford tells him that she is aware of Mike's visit the night previous - having again noted the absence of some household articles, such as food and clothing - and again rebukes Rob, with great sadness instead of anger this time, for not doing what she feels would have been the right thing. To justify himself, Rob explains about the operation that would have been performed on Mike had he turned him in. To Rob's horror, Mrs Gifford reveals that she knows of this, and further that Mr Gifford himself had been subject to it; hence his preoccupation with bonsai and little else.

This revelation causes an epiphany for Rob. He realises that Mike had inherited a spirit of freedom from his father, and though his father had been forced into submission, Mike had not grown up entirely blind to the oppression around him. It had simply taken contact with someone from the other side - Rob, a Conurban - to spark rebellion in him. Rob also realises that he had almost bought into the groupthink himself by assimilating into the gentry with such determination that he had forgotten his Conurban past, even taking up the offer to join the Guardians. He makes a decision: either he can remain in the place he has won in County society, now in perfect safety, or he can join the movement which has fled to the Conurbs and struggle alongside Mike in liberating the masses.

The story closes with Rob leaving the Giffords at night and returning to the Barrier, trowel in hand.",science_fiction
The darkest minds,Alexandra Bracken,"""Sixteen-year-old Ruby breaks out of a government-run 'rehabilitation camp' for teens who acquired dangerous powers after surviving a virus that wiped out most American children""--",science_fiction
The boxes,William Sleator,"When she opens two strange boxes left in her care by her mysterious uncle, fifteen-year-old Annie discovers a swarm of telepathic creatures and unleashes a power capable of slowing down time.",science_fiction
Urn burial,Robert Westall,Ralph's discovery of the burial site of a creature from another world leads him into a chilling supernatural adventure.,science_fiction
Brightness reef,David Brin,A new society of sapient beings has secretly evolved on the forbidden planet Jijo.,science_fiction
River rats,Caroline Stevermer,"Nearly twenty years after the holocaust called the Flash has destroyed modern civilization, Tomcat and a group of other orphans face danger as they steer an old steamboat over the toxic waters of the Mississippi River.",science_fiction
Moon of mutiny.,Lester del Rey,"Charged with insubordination, refusing to follow orders, and endangering the lives of others, a rebellious cadet is dismissed from the Goddard Space Academy and seeks to join the moon colony.",science_fiction
Beyond the burning lands,Sam Youd,"Prince-in-Waiting Luke returns from exile to Winchester, a city of a future England ruled by patterns from the past, and sets out on a journey through the Burning Lands, a volcanic wasteland inhabited by strange peoples and the monstrous Bayemot.",science_fiction
Me two,Mary C. Ryan,"Lazy thirteen-year-old Wilf accidentally clones himself when a science experiment goes awry, and the clone proves to be more of a help than a hindrance.",science_fiction
Alistair's time machine,Marilyn Sadler,"Alistair's entry in a science competition takes him to many places and time periods, but unfortunately he can't prove this to the judges.",science_fiction
Man on the moon,Simon Bartram,"Presents a typical day in the life of Bob, the man on the moon, who rockets to work each morning, cleans up after the astronauts, and performs other duties before returning home for a bath and bed.",science_fiction
Skymaze,Gillian Rubinstein,A group of children explore a video-game maze that suddenly becomes dangerously real and forces them to face their personal problems.,science_fiction
Android at arms,Andre Norton,"Awaking from a mind-frozen state, Andas Kastor must discover if he is the rightful human Emperor of Inyanga or an evil android double.",science_fiction
"Star Wars, Episode I.",Marc A. Cerasini,Anakin Skywalker fights to believe in his dreams in spite of his day-to-day life as a slave on the planet Tatooine.,science_fiction
Abyss,Troy Denning,"Following a trail of clues across the galaxy, Luke Skywalker continues his quest to find the reasons behind Jacen Solo's dark downfall and to win redemption for the Jedi Order.  Meanwhile on Coruscant, Han and Leia Solo, along with their daughter Jaina, join the fight to protect more stricken Knights from arrest while Jedi healers race to find a cure for the rapidly spreading affliction. And deep in the Maw Cluster the Sith is poised to strike against the Skywalkers and the forces of good.",science_fiction
Being,Kevin Brooks,"After finding out he is part machine, sixteen-year-old Robert Smith runs from the covert government agents who are trying to pin a murder on him, and together with Eddi, a nineteen-year-old criminal, tries to uncover his true identity.",science_fiction
Zorgamazoo,Robert Paul Weston,"Imaginative and adventurous Katrina eludes her maniacal guardian to help Morty, a member of a vanishing breed of zorgles, with his quest to uncover the fate of the fabled zorgles of Zorgmazoo as well as of other creatures that seem to have disappeared from the earth.",science_fiction
Psy-comm.,Jason Henderson,"In the not-too-distant future, sovereign nations have been replaced by corporate city-states. War is entertainment--scheduled, televised, and rated. The new stars are the elite Psychic Commandos, known as ""Psy-Comms."" Trained from an early age, these gifted soldiers have honed their various abilities to lethal perfection.",science_fiction
Death sentence,Alexander Gordon Smith,"After his failed attempt to escape from Furnace Penitentiary, Alex struggles to survive the bloodstained laboratories beneath where monsters are manufactured, with a death sentence--or worse--hanging over his head.",science_fiction
Starbound,Joe Haldeman,"After spending six years travelling to a distant solar system that is home to the enigmatic, powerful race known as ""The Others,"" in the hopes of finding enough common purpose between their species to forge a delicate truce, Carmen Dula and her husband return to Earth to find a massive flotilla of warships defending Earth against The Others. But The Others have more power than anyone could imagine--and they will brook no insolence from the upstart human race.",science_fiction
Magisterium,Jeff Hirsch,"In the twenty-second century Glennora Morgan's father has been working on a project which will allow him to penetrate the Rift and retrieve Glennora's mother; but now that he has suceeded the Authority is suddenly trying to kill them both, and Glennora and her friend Kevin must flee into the Rift to escape them.",science_fiction
The island stallion races,Walter Farley,Two visitors from another world enter the secret valley of Azul Island and provide Steve with a chance to see how Flame can do in competition with the world's fastest horses.,science_fiction
Aria.,Kozue Amano,"In 2301, Mars has been terraformed; it's now covered in water and is called Aqua. Akari Mizunashi has migrated from Man-World (Earth) to Neo-Venezia. She is an undine, an apprentice gondolier, giving tours of Neo-Venezia and enjoying daily life as she works to become a full-fledged gondolier.",science_fiction
Dragon and soldier,Theodor Zahn,"Fourteen-year-old Jack, who is the human host in a symbiotic relationship with a dragon warrior named Draycos, joins a mercenary outfit to uncover those behind a vast conspiracy to wipe out Draycos's race.",science_fiction
Outpost of Jupiter.,Lester del Rey,"While he and his father are living on the distant planetoid, Ganymede, a young boy makes contact with aliens from Jupiter.",science_fiction
Who goes home?,Sylvia Waugh,"On his thirteenth birthday, Jacob learns a secret about his birth and becomes involved in his father's work to protect other beings from the planet Ormingat who live on Earth.",science_fiction
Dragonfall 5 and the space cowboys.,Brian Earnshaw,"Space cowboys encounter cattle rustlers, extraterrestrials, and ingenious methods of locomotion on a ""broken world"" in outer space.",science_fiction
Prisoner of the ant people,R. A. Montgomery,"The reader is a member of an interplanetary task force and must make appropriate choices of alternative courses of action to combat the Evil Power Master and elude the purple beam of the would-be rulers, the Ant People.",science_fiction
The beggar queen,Lloyd Alexander,"Chaos reigns in Marienstat as Duke Conrad of Regia, the king's uncle, plots to overthrow the new government of Westmark and bring an end to the reforms instituted by Mickle, now Queen Augusta, Theo, and their companions.",science_fiction
Akiko on the planet Smoo,Mark Crilley,Ten-year-old Akiko has an unexpected adventure when she is whisked away to a distant planet and put in charge of the rescue mission that must search for the kidnapped Prince Froptoppit.,science_fiction
Train + train.,Hideyuki Kurata,"Shortly after his arrival on Deloca to study on the School Train, Reiichi Sakakusa's life is derailed by a rebellious girl named Arena, who is on the run from an agent who has been sent to find her. This promises to be an unforgettable school year for them both.",science_fiction
Ports of call,Jack Vance,"The adventures of an interplanetary con man. He is Myron Tany, a young sailor on a tramp cargo vessel. He journeys from one exotic world to another, turning a buck and breaking hearts. By the author of Night Lamp.",science_fiction
Space trap,Monica Hughes,"When twelve-year-old Valerie and her brother and sister fall through a space trap and are transmitted to an alien planet, they seek ways to return to the thirty-second century.",science_fiction
Voorloper,Andre Norton,"An embittered wanderer, his son, and a young girl with healing gifts explore the wastelands of a new planet, risking their lives to learn its horrible secret.",science_fiction
Singularity,William Sleator,"Sixteen-year-old twins Harry and Barry stumble across a gateway to another universe, where a distortion in time and space causes a dramatic change in their competitive relationship.",science_fiction
Whales on stilts,M. T. Anderson,"Racing against the clock, shy middle-school student Lily and her best friends, Katie and Jasper, must foil the plot of her father's conniving boss to conquer the world using an army of whales.",science_fiction
Rats,Paul Zindel,"When mutant rats threaten to take over Staten Island, which has become a huge landfill, fourteen-year-old Sarah and her younger brother Mike try to figure out how to stop them.",science_fiction
Return to earth,H. M. (Helen Mary) Hoover,In a future world a diplomat returns to Earth to retire and finds himself involved in political intrigue and a disquieting friendship with a young girl.,science_fiction
Exiles of the Stars,Andre Norton,"While on a mission for the Thothian priests, the Free Traders' ship is forced down on a barren and seemingly uninhabited planet.",science_fiction
The green futures of Tycho,William Sleator,"When he finds an ancient, egg-shaped object with which he travels back and forth in time, eleven-year-old Tycho grapples with several terrible futures he sees for himself and his family.",science_fiction
The lost star,H. M. (Helen Mary) Hoover,"While on an archaeological expedition to Balthor, a young astrophysicist stumbles upon the Lumpies--gray smiling creatures with a strange secret.",science_fiction
Devil on my back,Monica Hughes,"When the slaves rebel against the rigid social order imposed on the colony by the all-controlling computer, Tomi, the son of the colony Overlord manages to escape beyond the computer's reach and discovers what it is like to be free.",science_fiction
Star Ka'ats and the plant people,Andre Norton,Follows the adventures of two children and a super race of cats as they rescue a group of plant people.,science_fiction
Transformers Armada,Andrew Donkin,"Forgetting their rivalry, Autobots and Decepticons join together in the face of a cosmic enemy--Unicron.",science_fiction
Trillions.,Nicholas Fisk,"Before the military succeeds in destroying the strange, geometric objects from outer space, a thirteen-year-old boy learns to communicate with them and decides what to do with them.",science_fiction
Lizard Music,Daniel Manus Pinkwater,"When left to take care of himself, a young boy becomes involved with a community of intelligent lizards who tell him of a little known invasion from outer space.",science_fiction
The Ennead,Jan Mark,Colonists from a dying Earth find a new solar system similar to the one they left behind and proceed to repeat the same destructive pattern in their new environment until near disaster makes them change their living pattern.,science_fiction
"Star Man's son, 2250 A.D.",Andre Norton,"Two centuries after an atomic war on earth, a silver-haired mutant sets out on a dangerous search for a lost city of the ruined civilization.",science_fiction
The heavenly host,Isaac Asimov,"Newly arrived on Planet Anderson Two just before Christmas, Jonathan is warned about the dangerous native inhabitants but an accidental meeting with one of the natives convinces him that they are friendly and peaceful.",science_fiction
Rider at the gate,C. J. Cherryh,"On a planet where all animal species are telepathic, a human rider selected to be bonded with his horse attempts to avenge the death of the rider he loved.",science_fiction
Rash,Pete Hautman,"In a future society that has decided it would ""rather be safe than free,"" sixteen-year-old Bo's anger control problems land him in a tundra jail where he survives with the help of his running skills and an artificial intelligence program named Bork.",science_fiction
Timeless Stories for Today and Tomorrow,Ray Bradbury,"Strange, haunting, bizarre, grotesque...stories to set you shivering, gasping with terror, gaping with wonder...timeless stories selected by RAY BRADBURY
Each - in the remarkable Bradbury tradition - a vivid and unforgettable adventure into the unknown, written by one of the master storytellers of our time...Roald Dahl, Christopher Isherwood, John Steinbeck, Shirley Jackson, John Cheever, E.B. White, Hortense Calisher, Franz Kafka, Ludwig Bemelmans, Raby Bradbury, Walter Van Tilburg Clark, and 15 others!
--back cover",science_fiction
Andra,Louise Lawrence,"In a repressive underground society of the future, teenage Andra yearns for freedom and launches a massive youth rebellion against the system.",science_fiction
"20,000 leagues under the sea",Judith Conaway,"An adaptation of the nineteenth-century science fiction tale of an electric submarine, its eccentric captain, and the undersea world, which anticipated many of the scientific achievements of the twentieth century.",science_fiction
Green boy,Susan Mary Cooper,"Twelve-year-old Trey and his seven-year-old brother Lou, who does not speak, cross the barrier between two worlds, that of their island in the Bahamas, and a land called Pangaia, and play a mysterious role in restoring the natural environment in both places.",science_fiction
Wild Jack.,Sam Youd,"In this first in a trilogy of twenty-third-century England, young Clive Anderson, unjustly imprisoned in an attempt to mold him into a docile member of society, escapes to the Outlands and is befriended by Wild Jack's outlaw band.",science_fiction
TekLab,William Shatner,"Jake Cardigan enters the blasted ruins of twenty-first century London, searching for his missing son.",science_fiction
Vortex,Julie Cross,"""Jackson Meyer has thrown himself into his role as an agent for Tempest, the shadowy division of the CIA that handles all time-travel-related threats. Despite his heartbreak at losing the love of his life, Jackson has proved himself to be an excellent agent. However, after an accidental run in with Holly, the girl he altered history to save, Jackson is once again reminded of what he's lost. And when Eyewall, an opposing division of the CIA, emerges, Jackson and his fellow agents find themselves under attack""--Page 4 of cover.",science_fiction
Spark,Amy Kathleen Ryan,"Waverly and Kieran are finally reunited on the Empyrean, but when Seth is mysteriously released from the brig the night of a strange explosion that sends the ship off-course, tensions between Kieran and Seth reach a boiling point, as Waverly ponders following her heart, even if it puts lives at risk.",science_fiction
Dr. Franklin's island,Ann Halam,"When their plane crashes over the Pacific Ocean, three science students are left stranded on a tropical island and then imprisoned by a doctor who is performing horrifying experiments on humans involving the transfer of animal genes.",science_fiction
When the Tripods came,Sam Youd,Fourteen-year-old Laurie and his family attempt to flee England when the Tripods descend from outer space and begin brainwashing everyone with their hypnotic Caps.,science_fiction
The luck of Brin's five,Cherry Wilder,An earthman arrives accidentally on a planet where the people are marsupial and changes the lives and fortunes of a family group living there.,science_fiction
Star Ka'at world,Andre Norton,Two human orphans expand their relationship with a super race of cats and travel to their world where they soon feel more like prisoners than guests.,science_fiction
The space people,Eve Bunting,Two sisters are captured by visitors from another planet.,science_fiction
Day of the Earthlings,Eve Bunting,"To prevent discovery, the Martians hide themselves during the landing of a space ship from earth, but then one of the earth men has a serious accident.",science_fiction
Escape from Splatterbang,Nicholas Fisk,"Unwittingly abandoned by his parents, Mykl is stranded on a hostile planet from which escape seems impossible.",science_fiction
Dragonfall 5 and the space cowboys.,Brian Earnshaw,"Space cowboys encounter cattle rustlers, extraterrestrials, and ingenious methods of locomotion on a ""broken world"" in outer space.",science_fiction
The war of the worlds,Mary Ann Evans,"As life on Mars becomes impossible, Martians and their terrifying machines invade the earth.",science_fiction
The Star wars storybook,Geraldine Richelson,The intergalactic adventures of Luke Skywalker and the Rebel Alliance as they battle the evil Imperial forces which have overthrown the Old Republic.,science_fiction
The awakening,Michael Owen Carroll,"Ten years after the disappearance of superhumans--both heroes and villains--thirteen-year-olds Danny and Colin begin to develop super powers, making them the object of much unwanted attention.",science_fiction
The greatest show off earth,Margaret Mahy,"Delphinium spends her tenth birthday aboard a traveling space circus, fighting against the dark forces who are bent on stamping out fun.",science_fiction
Mind transfer,Janet Asimov,Adam Durant's experiences with mind transfer and his adventures on both a human space colony and a robot world test the validity of humanity's growth through artificial intelligence.,science_fiction
Rat trap,Michael J. Daley,"Bioengineered Rat and her twelve-year-old human companion, Jeff, stand together when Dr. Vivexian, who considers Rat his masterpiece, arrives at the space station to capture her.",science_fiction
Letters from Atlantis,Robert Silverberg,"While his body remains in deep sleep, Roy transfers his mind into the mind of a royal prince living in Atlantis 180 centuries ago.",science_fiction
Qwan,A. L. Kim,"In 2017 in the Pacific Northwest, thirteen-year-old Qwan struggles to survive in the aftermath of a devastating war which has taken his family from him and changed his life forever.",science_fiction
Others see us,William Sleator,"When an accidental dunking in toxic waste gives sixteen-year-old Jared the ability to read minds, he discovers horrifying secrets about family members at the summer reunion.",science_fiction
Footprints in time,Petru Popescu,"While Jack is visiting his father, a research scientist in Tanzania, their plane goes down over the savanna, killing everyone but Jack, who meets a mysterious creature who helps him survive.",science_fiction
The copper elephant,Adam Rapp,"In a world where children under twelve are used as slave labor in subterranean lime mines, eleven-year-old Whensday Bluehouse struggles to survive the continuous poison rains and evade the ruthless Syndicate Soldiers.",science_fiction
Calling B for butterfly,Louise Lawrence,Four teenagers must fend for themselves and two babies when the space liner on which they are traveling is destroyed by an asteroid.,science_fiction
Beckoning lights,Monica Hughes,Aliens arrive on Earth in a spaceship and enlist the help of a pair of telepathic twins in their search for an earthly substance to save their dying race.,science_fiction
